Id;Function;threads;gpus;P;Q;mtxfmt;nb;transA;transB;m;n;k;lda;ldb;ldc;alpha;beta;seedA;seedB;seedC;tsub;time;gflops
0;dgemm;1;0;1;1;0;256;111;111;8192;8192;8192;8192;8192;8192;4.892778e-01;-1.846424e-01;1649760492;596516649;1189641421;0.000000e+00;3.350944e+01;3.281200e+01
1;dgemm;1;0;1;1;0;256;111;111;8192;8192;8192;8192;8192;8192;-2.410269e-01;4.000452e-01;783368690;1102520059;2044897763;0.000000e+00;3.350596e+01;3.281541e+01
2;dgemm;1;0;1;1;0;256;111;111;8192;8192;8192;8192;8192;8192;4.141058e-01;-3.017109e-01;1540383426;304089172;1303455736;0.000000e+00;3.340938e+01;3.291026e+01
3;dgemm;1;0;1;1;0;256;111;111;8192;8192;8192;8192;8192;8192;-3.054879e-01;-1.757242e-01;294702567;1726956429;336465782;0.000000e+00;3.347171e+01;3.284898e+01
0;dgemm;1;0;1;1;0;512;111;111;8192;8192;8192;8192;8192;8192;4.892778e-01;-1.846424e-01;1649760492;596516649;1189641421;0.000000e+00;3.228835e+01;3.405288e+01
1;dgemm;1;0;1;1;0;512;111;111;8192;8192;8192;8192;8192;8192;-2.410269e-01;4.000452e-01;783368690;1102520059;2044897763;0.000000e+00;3.228591e+01;3.405546e+01
2;dgemm;1;0;1;1;0;512;111;111;8192;8192;8192;8192;8192;8192;4.141058e-01;-3.017109e-01;1540383426;304089172;1303455736;0.000000e+00;3.228455e+01;3.405690e+01
3;dgemm;1;0;1;1;0;512;111;111;8192;8192;8192;8192;8192;8192;-3.054879e-01;-1.757242e-01;294702567;1726956429;336465782;0.000000e+00;3.228814e+01;3.405311e+01
0;dgemm;1;0;1;1;0;1024;111;111;8192;8192;8192;8192;8192;8192;4.892778e-01;-1.846424e-01;1649760492;596516649;1189641421;0.000000e+00;3.187417e+01;3.449538e+01
1;dgemm;1;0;1;1;0;1024;111;111;8192;8192;8192;8192;8192;8192;-2.410269e-01;4.000452e-01;783368690;1102520059;2044897763;0.000000e+00;3.187412e+01;3.449544e+01
