Id;Function;threads;gpus;P;Q;mtxfmt;nb;transA;transB;m;n;k;lda;ldb;ldc;alpha;beta;seedA;seedB;seedC;tsub;time;gflops
0;dgemm;1;0;1;1;0;256;111;111;8192;8192;8192;8192;8192;8192;4.892778e-01;-1.846424e-01;1649760492;596516649;1189641421;0.000000e+00;3.323782e+01;3.308014e+01
1;dgemm;1;0;1;1;0;256;111;111;8192;8192;8192;8192;8192;8192;-2.410269e-01;4.000452e-01;783368690;1102520059;2044897763;0.000000e+00;3.316681e+01;3.315096e+01
2;dgemm;1;0;1;1;0;256;111;111;8192;8192;8192;8192;8192;8192;4.141058e-01;-3.017109e-01;1540383426;304089172;1303455736;0.000000e+00;3.324811e+01;3.306989e+01
3;dgemm;1;0;1;1;0;256;111;111;8192;8192;8192;8192;8192;8192;-3.054879e-01;-1.757242e-01;294702567;1726956429;336465782;0.000000e+00;3.323106e+01;3.308686e+01
0;dgemm;1;0;1;1;0;512;111;111;8192;8192;8192;8192;8192;8192;4.892778e-01;-1.846424e-01;1649760492;596516649;1189641421;0.000000e+00;3.232843e+01;3.401067e+01
1;dgemm;1;0;1;1;0;512;111;111;8192;8192;8192;8192;8192;8192;-2.410269e-01;4.000452e-01;783368690;1102520059;2044897763;0.000000e+00;3.230848e+01;3.403168e+01
2;dgemm;1;0;1;1;0;512;111;111;8192;8192;8192;8192;8192;8192;4.141058e-01;-3.017109e-01;1540383426;304089172;1303455736;0.000000e+00;3.231254e+01;3.402739e+01
3;dgemm;1;0;1;1;0;512;111;111;8192;8192;8192;8192;8192;8192;-3.054879e-01;-1.757242e-01;294702567;1726956429;336465782;0.000000e+00;3.231305e+01;3.402686e+01
0;dgemm;1;0;1;1;0;1024;111;111;8192;8192;8192;8192;8192;8192;4.892778e-01;-1.846424e-01;1649760492;596516649;1189641421;0.000000e+00;3.182844e+01;3.454494e+01
1;dgemm;1;0;1;1;0;1024;111;111;8192;8192;8192;8192;8192;8192;-2.410269e-01;4.000452e-01;783368690;1102520059;2044897763;0.000000e+00;3.182292e+01;3.455093e+01
