Id;threads;Q;gpus;nb;m;n;k;time;gflops
0;1;1;0;256;8192;8192;8192;4.406237e+01;2.495200e+01
1;1;1;0;256;8192;8192;8192;4.051232e+01;2.713852e+01
2;1;1;0;256;8192;8192;8192;4.045671e+01;2.717583e+01
3;1;1;0;256;8192;8192;8192;4.055034e+01;2.711308e+01
0;1;1;0;512;8192;8192;8192;3.836955e+01;2.865409e+01
1;1;1;0;512;8192;8192;8192;3.626167e+01;3.031974e+01
2;1;1;0;512;8192;8192;8192;3.625790e+01;3.032290e+01
3;1;1;0;512;8192;8192;8192;3.599293e+01;3.054612e+01
0;1;1;0;1024;8192;8192;8192;3.398483e+01;3.235103e+01
1;1;1;0;1024;8192;8192;8192;3.358723e+01;3.273401e+01
2;1;1;0;1024;8192;8192;8192;3.350247e+01;3.281682e+01
3;1;1;0;1024;8192;8192;8192;3.345314e+01;3.286521e+01
0;1;1;0;2048;8192;8192;8192;3.281855e+01;3.350070e+01
1;1;1;0;2048;8192;8192;8192;3.245074e+01;3.388041e+01
2;1;1;0;2048;8192;8192;8192;3.243868e+01;3.389301e+01
3;1;1;0;2048;8192;8192;8192;3.242644e+01;3.390580e+01
0;1;1;0;4096;8192;8192;8192;3.216576e+01;3.418059e+01
1;1;1;0;4096;8192;8192;8192;3.195868e+01;3.440207e+01
2;1;1;0;4096;8192;8192;8192;3.187379e+01;3.449369e+01
3;1;1;0;4096;8192;8192;8192;3.187431e+01;3.449312e+01
0;1;1;0;8192;8192;8192;8192;3.310396e+01;3.321187e+01
1;1;1;0;8192;8192;8192;8192;3.336428e+01;3.295274e+01
2;1;1;0;8192;8192;8192;8192;3.295658e+01;3.336039e+01
3;1;1;0;8192;8192;8192;8192;3.292294e+01;3.339448e+01
0;2;1;0;256;8192;8192;8192;2.640287e+01;4.164110e+01
1;2;1;0;256;8192;8192;8192;2.508779e+01;4.382388e+01
2;2;1;0;256;8192;8192;8192;2.414769e+01;4.553000e+01
3;2;1;0;256;8192;8192;8192;2.560788e+01;4.293383e+01
0;2;1;0;512;8192;8192;8192;2.136722e+01;5.145473e+01
1;2;1;0;512;8192;8192;8192;1.987644e+01;5.531395e+01
2;2;1;0;512;8192;8192;8192;1.957664e+01;5.616104e+01
3;2;1;0;512;8192;8192;8192;1.960784e+01;5.607167e+01
0;2;1;0;1024;8192;8192;8192;1.737065e+01;6.329322e+01
1;2;1;0;1024;8192;8192;8192;1.723983e+01;6.377349e+01
2;2;1;0;1024;8192;8192;8192;1.706583e+01;6.442373e+01
3;2;1;0;1024;8192;8192;8192;1.703250e+01;6.454982e+01
0;2;1;0;2048;8192;8192;8192;1.684202e+01;6.527984e+01
1;2;1;0;2048;8192;8192;8192;1.652282e+01;6.654098e+01
2;2;1;0;2048;8192;8192;8192;1.650403e+01;6.661672e+01
3;2;1;0;2048;8192;8192;8192;1.648261e+01;6.670331e+01
0;2;1;0;4096;8192;8192;8192;1.630785e+01;6.741813e+01
1;2;1;0;4096;8192;8192;8192;1.605264e+01;6.848994e+01
2;2;1;0;4096;8192;8192;8192;1.605631e+01;6.847428e+01
3;2;1;0;4096;8192;8192;8192;1.605242e+01;6.849090e+01
0;2;1;0;8192;8192;8192;8192;3.350424e+01;3.281508e+01
1;2;1;0;8192;8192;8192;8192;3.339278e+01;3.292462e+01
2;2;1;0;8192;8192;8192;8192;3.337666e+01;3.294052e+01
3;2;1;0;8192;8192;8192;8192;3.336569e+01;3.295135e+01
0;4;1;0;256;8192;8192;8192;1.534367e+01;7.165461e+01
1;4;1;0;256;8192;8192;8192;1.454118e+01;7.560901e+01
2;4;1;0;256;8192;8192;8192;1.404986e+01;7.825308e+01
3;4;1;0;256;8192;8192;8192;1.303806e+01;8.432580e+01
0;4;1;0;512;8192;8192;8192;1.091603e+01;1.007184e+02
1;4;1;0;512;8192;8192;8192;1.079089e+01;1.018864e+02
2;4;1;0;512;8192;8192;8192;1.023124e+01;1.074596e+02
3;4;1;0;512;8192;8192;8192;1.044684e+01;1.052418e+02
0;1;1;0;256;8192;8192;8192;4.661008e+01;2.358813e+01
1;1;1;0;256;8192;8192;8192;4.189790e+01;2.624104e+01
2;1;1;0;256;8192;8192;8192;4.280760e+01;2.568340e+01
3;1;1;0;256;8192;8192;8192;4.193976e+01;2.621485e+01
0;1;1;0;512;8192;8192;8192;3.832593e+01;2.868670e+01
1;1;1;0;512;8192;8192;8192;3.623598e+01;3.034124e+01
2;1;1;0;512;8192;8192;8192;3.621673e+01;3.035737e+01
3;1;1;0;512;8192;8192;8192;3.607438e+01;3.047715e+01
0;1;1;0;1024;8192;8192;8192;3.413607e+01;3.220771e+01
1;1;1;0;1024;8192;8192;8192;3.378199e+01;3.254529e+01
2;1;1;0;1024;8192;8192;8192;3.365325e+01;3.266979e+01
3;1;1;0;1024;8192;8192;8192;3.363870e+01;3.268392e+01
0;1;1;0;2048;8192;8192;8192;3.283679e+01;3.348210e+01
1;1;1;0;2048;8192;8192;8192;3.248620e+01;3.384343e+01
2;1;1;0;2048;8192;8192;8192;3.243590e+01;3.389592e+01
3;1;1;0;2048;8192;8192;8192;3.242801e+01;3.390417e+01
0;1;1;0;4096;8192;8192;8192;3.218898e+01;3.415593e+01
1;1;1;0;4096;8192;8192;8192;3.194098e+01;3.442113e+01
2;1;1;0;4096;8192;8192;8192;3.188992e+01;3.447624e+01
3;1;1;0;4096;8192;8192;8192;3.187235e+01;3.449524e+01
0;1;1;0;8192;8192;8192;8192;3.325492e+01;3.306111e+01
1;1;1;0;8192;8192;8192;8192;3.294236e+01;3.337479e+01
2;1;1;0;8192;8192;8192;8192;3.294082e+01;3.337636e+01
3;1;1;0;8192;8192;8192;8192;3.293717e+01;3.338006e+01
0;2;1;0;256;8192;8192;8192;2.521455e+01;4.360357e+01
1;2;1;0;256;8192;8192;8192;2.522000e+01;4.359415e+01
2;2;1;0;256;8192;8192;8192;2.691973e+01;4.084159e+01
3;2;1;0;256;8192;8192;8192;2.537541e+01;4.332717e+01
0;2;1;0;512;8192;8192;8192;2.035723e+01;5.400758e+01
1;2;1;0;512;8192;8192;8192;1.996582e+01;5.506634e+01
2;2;1;0;512;8192;8192;8192;1.900180e+01;5.786002e+01
3;2;1;0;512;8192;8192;8192;1.951502e+01;5.633837e+01
0;2;1;0;1024;8192;8192;8192;1.722614e+01;6.382420e+01
1;2;1;0;1024;8192;8192;8192;1.698231e+01;6.474058e+01
2;2;1;0;1024;8192;8192;8192;1.703554e+01;6.453827e+01
3;2;1;0;1024;8192;8192;8192;1.703911e+01;6.452476e+01
0;2;1;0;2048;8192;8192;8192;1.668423e+01;6.589721e+01
1;2;1;0;2048;8192;8192;8192;1.661480e+01;6.617260e+01
2;2;1;0;2048;8192;8192;8192;1.660260e+01;6.622123e+01
3;2;1;0;2048;8192;8192;8192;1.665492e+01;6.601319e+01
0;2;1;0;4096;8192;8192;8192;1.628893e+01;6.749643e+01
1;2;1;0;4096;8192;8192;8192;1.612620e+01;6.817752e+01
2;2;1;0;4096;8192;8192;8192;1.611899e+01;6.820802e+01
3;2;1;0;4096;8192;8192;8192;1.611493e+01;6.822523e+01
0;2;1;0;8192;8192;8192;8192;3.308925e+01;3.322664e+01
1;2;1;0;8192;8192;8192;8192;3.298843e+01;3.332819e+01
2;2;1;0;8192;8192;8192;8192;3.297912e+01;3.333759e+01
3;2;1;0;8192;8192;8192;8192;3.292906e+01;3.338828e+01
0;4;1;0;256;8192;8192;8192;1.634629e+01;6.725957e+01
1;4;1;0;256;8192;8192;8192;1.357285e+01;8.100322e+01
2;4;1;0;256;8192;8192;8192;1.340742e+01;8.200272e+01
3;4;1;0;256;8192;8192;8192;1.306065e+01;8.417989e+01
0;4;1;0;512;8192;8192;8192;1.115272e+01;9.858080e+01
1;4;1;0;512;8192;8192;8192;1.186455e+01;9.266636e+01
2;4;1;0;512;8192;8192;8192;1.073460e+01;1.024206e+02
3;4;1;0;512;8192;8192;8192;1.018926e+01;1.079023e+02
0;4;1;0;1024;8192;8192;8192;8.751975e+00;1.256224e+02
1;4;1;0;1024;8192;8192;8192;8.953410e+00;1.227962e+02
2;4;1;0;1024;8192;8192;8192;8.793319e+00;1.250318e+02
3;4;1;0;1024;8192;8192;8192;8.724559e+00;1.260172e+02
0;4;1;0;2048;8192;8192;8192;8.558420e+00;1.284635e+02
1;4;1;0;2048;8192;8192;8192;8.546303e+00;1.286456e+02
2;4;1;0;2048;8192;8192;8192;8.452161e+00;1.300785e+02
3;4;1;0;2048;8192;8192;8192;8.465592e+00;1.298721e+02
0;4;1;0;4096;8192;8192;8192;8.256542e+00;1.331604e+02
1;4;1;0;4096;8192;8192;8192;8.194204e+00;1.341734e+02
2;4;1;0;4096;8192;8192;8192;8.190356e+00;1.342365e+02
3;4;1;0;4096;8192;8192;8192;8.201666e+00;1.340514e+02
0;4;1;0;8192;8192;8192;8192;3.314176e+01;3.317400e+01
1;4;1;0;8192;8192;8192;8192;3.294599e+01;3.337112e+01
2;4;1;0;8192;8192;8192;8192;3.289753e+01;3.342027e+01
3;4;1;0;8192;8192;8192;8192;3.290305e+01;3.341467e+01
0;8;1;0;256;8192;8192;8192;1.028907e+01;1.068556e+02
1;8;1;0;256;8192;8192;8192;8.323361e+00;1.320914e+02
2;8;1;0;256;8192;8192;8192;7.631972e+00;1.440577e+02
3;8;1;0;256;8192;8192;8192;7.632106e+00;1.440552e+02
0;8;1;0;512;8192;8192;8192;6.726313e+00;1.634543e+02
1;8;1;0;512;8192;8192;8192;6.736158e+00;1.632154e+02
2;8;1;0;512;8192;8192;8192;6.613172e+00;1.662507e+02
3;8;1;0;512;8192;8192;8192;5.657136e+00;1.943465e+02
0;8;1;0;1024;8192;8192;8192;4.511511e+00;2.436976e+02
1;8;1;0;1024;8192;8192;8192;4.423911e+00;2.485232e+02
2;8;1;0;1024;8192;8192;8192;4.471438e+00;2.458817e+02
3;8;1;0;1024;8192;8192;8192;4.497678e+00;2.444471e+02
0;8;1;0;2048;8192;8192;8192;4.390119e+00;2.504362e+02
1;8;1;0;2048;8192;8192;8192;4.337266e+00;2.534879e+02
2;8;1;0;2048;8192;8192;8192;4.324224e+00;2.542525e+02
3;8;1;0;2048;8192;8192;8192;4.352682e+00;2.525901e+02
0;8;1;0;4096;8192;8192;8192;8.205214e+00;1.339934e+02
1;8;1;0;4096;8192;8192;8192;8.065205e+00;1.363195e+02
2;8;1;0;4096;8192;8192;8192;8.077900e+00;1.361052e+02
3;8;1;0;4096;8192;8192;8192;8.135376e+00;1.351437e+02
0;8;1;0;8192;8192;8192;8192;3.316007e+01;3.315567e+01
1;8;1;0;8192;8192;8192;8192;3.302478e+01;3.329150e+01
2;8;1;0;8192;8192;8192;8192;3.303198e+01;3.328424e+01
3;8;1;0;8192;8192;8192;8192;3.296787e+01;3.334897e+01
0;16;1;0;256;8192;8192;8192;7.749357e+00;1.418756e+02
1;16;1;0;256;8192;8192;8192;6.719159e+00;1.636283e+02
2;16;1;0;256;8192;8192;8192;6.708257e+00;1.638942e+02
3;16;1;0;256;8192;8192;8192;6.097576e+00;1.803084e+02
0;16;1;0;512;8192;8192;8192;3.673931e+00;2.992556e+02
1;16;1;0;512;8192;8192;8192;3.752420e+00;2.929961e+02
2;16;1;0;512;8192;8192;8192;3.658855e+00;3.004886e+02
3;16;1;0;512;8192;8192;8192;3.454995e+00;3.182188e+02
0;16;1;0;1024;8192;8192;8192;2.493201e+00;4.409770e+02
1;16;1;0;1024;8192;8192;8192;2.511949e+00;4.376859e+02
2;16;1;0;1024;8192;8192;8192;2.542888e+00;4.323606e+02
3;16;1;0;1024;8192;8192;8192;2.456678e+00;4.475330e+02
0;16;1;0;2048;8192;8192;8192;2.340244e+00;4.697992e+02
1;16;1;0;2048;8192;8192;8192;2.295432e+00;4.789706e+02
2;16;1;0;2048;8192;8192;8192;2.378597e+00;4.622240e+02
3;16;1;0;2048;8192;8192;8192;2.380597e+00;4.618357e+02
0;16;1;0;4096;8192;8192;8192;8.203684e+00;1.340184e+02
1;16;1;0;4096;8192;8192;8192;8.138688e+00;1.350887e+02
2;16;1;0;4096;8192;8192;8192;8.095377e+00;1.358114e+02
3;16;1;0;4096;8192;8192;8192;8.088104e+00;1.359335e+02
0;16;1;0;8192;8192;8192;8192;3.305359e+01;3.326249e+01
1;16;1;0;8192;8192;8192;8192;3.293668e+01;3.338055e+01
2;16;1;0;8192;8192;8192;8192;3.294897e+01;3.336810e+01
3;16;1;0;8192;8192;8192;8192;3.294031e+01;3.337687e+01
0;32;1;0;256;8192;8192;8192;4.933156e+00;2.228684e+02
1;32;1;0;256;8192;8192;8192;4.799396e+00;2.290798e+02
2;32;1;0;256;8192;8192;8192;4.672711e+00;2.352905e+02
3;32;1;0;256;8192;8192;8192;4.238813e+00;2.593756e+02
0;32;1;0;512;8192;8192;8192;2.283957e+00;4.813771e+02
1;32;1;0;512;8192;8192;8192;2.301631e+00;4.776806e+02
2;32;1;0;512;8192;8192;8192;2.143330e+00;5.129608e+02
3;32;1;0;512;8192;8192;8192;2.416802e+00;4.549171e+02
0;32;1;0;1024;8192;8192;8192;1.507107e+00;7.295065e+02
1;32;1;0;1024;8192;8192;8192;1.447434e+00;7.595819e+02
2;32;1;0;1024;8192;8192;8192;1.416554e+00;7.761400e+02
3;32;1;0;1024;8192;8192;8192;1.378808e+00;7.973878e+02
0;32;1;0;2048;8192;8192;8192;2.322538e+00;4.733806e+02
1;32;1;0;2048;8192;8192;8192;2.294092e+00;4.792504e+02
2;32;1;0;2048;8192;8192;8192;2.296837e+00;4.786776e+02
3;32;1;0;2048;8192;8192;8192;2.286851e+00;4.807680e+02
0;32;1;0;4096;8192;8192;8192;8.228797e+00;1.336094e+02
1;32;1;0;4096;8192;8192;8192;8.256105e+00;1.331675e+02
2;32;1;0;4096;8192;8192;8192;8.094972e+00;1.358182e+02
3;32;1;0;4096;8192;8192;8192;8.088766e+00;1.359224e+02
0;32;1;0;8192;8192;8192;8192;3.311675e+01;3.319905e+01
1;32;1;0;8192;8192;8192;8192;3.298732e+01;3.332931e+01
2;32;1;0;8192;8192;8192;8192;3.294824e+01;3.336884e+01
3;32;1;0;8192;8192;8192;8192;3.295241e+01;3.336461e+01
0;64;1;0;256;8192;8192;8192;7.506453e+00;1.464666e+02
1;64;1;0;256;8192;8192;8192;4.280055e+00;2.568763e+02
2;64;1;0;256;8192;8192;8192;4.248892e+00;2.587603e+02
3;64;1;0;256;8192;8192;8192;4.367441e+00;2.517366e+02
0;64;1;0;512;8192;8192;8192;2.307766e+00;4.764107e+02
1;64;1;0;512;8192;8192;8192;1.639300e+00;6.706793e+02
2;64;1;0;512;8192;8192;8192;1.608809e+00;6.833903e+02
3;64;1;0;512;8192;8192;8192;1.449960e+00;7.582584e+02
0;64;1;0;1024;8192;8192;8192;1.092668e+00;1.006202e+03
1;64;1;0;1024;8192;8192;8192;9.028568e-01;1.217740e+03
2;64;1;0;1024;8192;8192;8192;8.967962e-01;1.225969e+03
3;64;1;0;1024;8192;8192;8192;9.154350e-01;1.201008e+03
0;64;1;0;2048;8192;8192;8192;2.342507e+00;4.693452e+02
1;64;1;0;2048;8192;8192;8192;2.326124e+00;4.726508e+02
2;64;1;0;2048;8192;8192;8192;2.298438e+00;4.783442e+02
3;64;1;0;2048;8192;8192;8192;2.308944e+00;4.761676e+02
0;64;1;0;4096;8192;8192;8192;8.216275e+00;1.338130e+02
1;64;1;0;4096;8192;8192;8192;8.188148e+00;1.342727e+02
2;64;1;0;4096;8192;8192;8192;8.204105e+00;1.340115e+02
3;64;1;0;4096;8192;8192;8192;8.167882e+00;1.346058e+02
0;64;1;0;8192;8192;8192;8192;3.312910e+01;3.318667e+01
1;64;1;0;8192;8192;8192;8192;3.298780e+01;3.332882e+01
2;64;1;0;8192;8192;8192;8192;3.298753e+01;3.332910e+01
3;64;1;0;8192;8192;8192;8192;3.305797e+01;3.325808e+01

