Id;threads;Q;gpus;nb;m;n;k;time;gflops
0;1;1;0;256;8192;8192;8192;4.484031e+01;2.451911e+01
1;1;1;0;256;8192;8192;8192;4.049556e+01;2.714975e+01
2;1;1;0;256;8192;8192;8192;4.077040e+01;2.696673e+01
3;1;1;0;256;8192;8192;8192;4.090959e+01;2.687499e+01
0;1;1;0;512;8192;8192;8192;3.816681e+01;2.880630e+01
1;1;1;0;512;8192;8192;8192;3.584332e+01;3.067362e+01
2;1;1;0;512;8192;8192;8192;3.584748e+01;3.067007e+01
3;1;1;0;512;8192;8192;8192;3.577833e+01;3.072934e+01
0;1;1;0;1024;8192;8192;8192;3.360453e+01;3.271715e+01
1;1;1;0;1024;8192;8192;8192;3.320690e+01;3.310892e+01
2;1;1;0;1024;8192;8192;8192;3.316282e+01;3.315293e+01
3;1;1;0;1024;8192;8192;8192;3.316220e+01;3.315355e+01
0;1;1;0;2048;8192;8192;8192;3.287053e+01;3.344773e+01
1;1;1;0;2048;8192;8192;8192;3.256767e+01;3.375877e+01
2;1;1;0;2048;8192;8192;8192;3.251348e+01;3.381503e+01
3;1;1;0;2048;8192;8192;8192;3.250817e+01;3.382056e+01
0;1;1;0;4096;8192;8192;8192;3.215734e+01;3.418953e+01
1;1;1;0;4096;8192;8192;8192;3.193673e+01;3.442570e+01
2;1;1;0;4096;8192;8192;8192;3.187755e+01;3.448962e+01
3;1;1;0;4096;8192;8192;8192;3.187637e+01;3.449089e+01
0;1;1;0;8192;8192;8192;8192;3.309033e+01;3.322555e+01
1;1;1;0;8192;8192;8192;8192;3.290220e+01;3.341553e+01
2;1;1;0;8192;8192;8192;8192;3.290230e+01;3.341543e+01
3;1;1;0;8192;8192;8192;8192;3.290149e+01;3.341625e+01
0;2;1;0;256;8192;8192;8192;2.718886e+01;4.043731e+01
1;2;1;0;256;8192;8192;8192;2.568295e+01;4.280834e+01
2;2;1;0;256;8192;8192;8192;2.494131e+01;4.408126e+01
3;2;1;0;256;8192;8192;8192;2.688261e+01;4.089798e+01
0;2;1;0;512;8192;8192;8192;2.021820e+01;5.437895e+01
1;2;1;0;512;8192;8192;8192;1.880896e+01;5.845322e+01
2;2;1;0;512;8192;8192;8192;1.857053e+01;5.920373e+01
3;2;1;0;512;8192;8192;8192;1.831321e+01;6.003561e+01
0;2;1;0;1024;8192;8192;8192;1.741534e+01;6.313082e+01
1;2;1;0;1024;8192;8192;8192;1.735814e+01;6.333883e+01
2;2;1;0;1024;8192;8192;8192;1.699916e+01;6.467638e+01
3;2;1;0;1024;8192;8192;8192;1.693445e+01;6.492355e+01
0;2;1;0;2048;8192;8192;8192;1.685262e+01;6.523878e+01
1;2;1;0;2048;8192;8192;8192;1.675006e+01;6.563826e+01
2;2;1;0;2048;8192;8192;8192;1.672573e+01;6.573372e+01
3;2;1;0;2048;8192;8192;8192;1.672829e+01;6.572368e+01
0;2;1;0;4096;8192;8192;8192;1.611593e+01;6.822100e+01
1;2;1;0;4096;8192;8192;8192;1.615775e+01;6.804439e+01
2;2;1;0;4096;8192;8192;8192;1.606403e+01;6.844139e+01
3;2;1;0;4096;8192;8192;8192;1.604169e+01;6.853671e+01
0;2;1;0;8192;8192;8192;8192;3.323791e+01;3.307803e+01
1;2;1;0;8192;8192;8192;8192;3.296888e+01;3.334795e+01
2;2;1;0;8192;8192;8192;8192;3.298884e+01;3.332777e+01
3;2;1;0;8192;8192;8192;8192;3.295264e+01;3.336438e+01
0;4;1;0;256;8192;8192;8192;1.620472e+01;6.784716e+01
1;4;1;0;256;8192;8192;8192;1.321072e+01;8.322368e+01
2;4;1;0;256;8192;8192;8192;1.320473e+01;8.326139e+01
3;4;1;0;256;8192;8192;8192;1.303153e+01;8.436805e+01
0;4;1;0;512;8192;8192;8192;1.098253e+01;1.001085e+02
1;4;1;0;512;8192;8192;8192;1.032039e+01;1.065313e+02
2;4;1;0;512;8192;8192;8192;1.009897e+01;1.088670e+02
3;4;1;0;512;8192;8192;8192;1.019158e+01;1.078777e+02
0;4;1;0;1024;8192;8192;8192;8.722270e+00;1.260503e+02
1;4;1;0;1024;8192;8192;8192;8.620941e+00;1.275318e+02
2;4;1;0;1024;8192;8192;8192;8.573970e+00;1.282305e+02
3;4;1;0;1024;8192;8192;8192;8.705303e+00;1.262959e+02
0;4;1;0;2048;8192;8192;8192;8.472641e+00;1.297641e+02
1;4;1;0;2048;8192;8192;8192;8.383786e+00;1.311394e+02
2;4;1;0;2048;8192;8192;8192;8.400315e+00;1.308813e+02
3;4;1;0;2048;8192;8192;8192;8.410633e+00;1.307208e+02
0;4;1;0;4096;8192;8192;8192;8.227653e+00;1.336280e+02
1;4;1;0;4096;8192;8192;8192;8.064895e+00;1.363247e+02
2;4;1;0;4096;8192;8192;8192;8.082455e+00;1.360285e+02
3;4;1;0;4096;8192;8192;8192;8.062984e+00;1.363570e+02
0;4;1;0;8192;8192;8192;8192;3.325526e+01;3.306077e+01
1;4;1;0;8192;8192;8192;8192;3.295526e+01;3.336173e+01
2;4;1;0;8192;8192;8192;8192;3.295696e+01;3.336001e+01
3;4;1;0;8192;8192;8192;8192;3.295531e+01;3.336168e+01
0;8;1;0;256;8192;8192;8192;9.639593e+00;1.140551e+02
1;8;1;0;256;8192;8192;8192;8.049989e+00;1.365771e+02
2;8;1;0;256;8192;8192;8192;7.473397e+00;1.471144e+02
3;8;1;0;256;8192;8192;8192;7.441083e+00;1.477533e+02
0;8;1;0;512;8192;8192;8192;6.550795e+00;1.678337e+02
1;8;1;0;512;8192;8192;8192;6.721487e+00;1.635716e+02
2;8;1;0;512;8192;8192;8192;6.211661e+00;1.769969e+02
3;8;1;0;512;8192;8192;8192;5.601408e+00;1.962800e+02
0;8;1;0;1024;8192;8192;8192;4.504200e+00;2.440932e+02
1;8;1;0;1024;8192;8192;8192;4.451925e+00;2.469594e+02
2;8;1;0;1024;8192;8192;8192;4.381269e+00;2.509420e+02
3;8;1;0;1024;8192;8192;8192;4.536566e+00;2.423517e+02
0;8;1;0;2048;8192;8192;8192;4.350630e+00;2.527093e+02
1;8;1;0;2048;8192;8192;8192;4.274378e+00;2.572174e+02
2;8;1;0;2048;8192;8192;8192;4.292835e+00;2.561115e+02
3;8;1;0;2048;8192;8192;8192;4.273862e+00;2.572485e+02
0;8;1;0;4096;8192;8192;8192;8.141768e+00;1.350376e+02
1;8;1;0;4096;8192;8192;8192;8.087452e+00;1.359445e+02
2;8;1;0;4096;8192;8192;8192;8.075486e+00;1.361459e+02
3;8;1;0;4096;8192;8192;8192;8.157868e+00;1.347711e+02
0;8;1;0;8192;8192;8192;8192;3.319598e+01;3.311981e+01
1;8;1;0;8192;8192;8192;8192;3.295632e+01;3.336065e+01
2;8;1;0;8192;8192;8192;8192;3.295178e+01;3.336526e+01
3;8;1;0;8192;8192;8192;8192;3.300807e+01;3.330836e+01
0;16;1;0;256;8192;8192;8192;7.834877e+00;1.403270e+02
1;16;1;0;256;8192;8192;8192;6.254220e+00;1.757924e+02
2;16;1;0;256;8192;8192;8192;6.385155e+00;1.721876e+02
3;16;1;0;256;8192;8192;8192;6.307874e+00;1.742972e+02
0;16;1;0;512;8192;8192;8192;4.049350e+00;2.715114e+02
1;16;1;0;512;8192;8192;8192;3.453044e+00;3.183986e+02
2;16;1;0;512;8192;8192;8192;3.504813e+00;3.136957e+02
3;16;1;0;512;8192;8192;8192;3.519340e+00;3.124008e+02
0;16;1;0;1024;8192;8192;8192;2.441513e+00;4.503127e+02
1;16;1;0;1024;8192;8192;8192;2.402681e+00;4.575906e+02
2;16;1;0;1024;8192;8192;8192;2.377223e+00;4.624911e+02
3;16;1;0;1024;8192;8192;8192;2.336165e+00;4.706194e+02
0;16;1;0;2048;8192;8192;8192;2.320902e+00;4.737144e+02
1;16;1;0;2048;8192;8192;8192;2.279049e+00;4.824136e+02
2;16;1;0;2048;8192;8192;8192;2.275443e+00;4.831783e+02
3;16;1;0;2048;8192;8192;8192;2.297211e+00;4.785997e+02
0;16;1;0;4096;8192;8192;8192;8.166483e+00;1.346289e+02
1;16;1;0;4096;8192;8192;8192;8.182342e+00;1.343680e+02
2;16;1;0;4096;8192;8192;8192;8.216637e+00;1.338071e+02
3;16;1;0;4096;8192;8192;8192;8.105084e+00;1.356487e+02
0;16;1;0;8192;8192;8192;8192;3.327715e+01;3.303902e+01
1;16;1;0;8192;8192;8192;8192;3.304987e+01;3.326623e+01
2;16;1;0;8192;8192;8192;8192;3.295341e+01;3.336361e+01
3;16;1;0;8192;8192;8192;8192;3.296102e+01;3.335591e+01
0;32;1;0;256;8192;8192;8192;4.678519e+00;2.349984e+02
1;32;1;0;256;8192;8192;8192;5.021349e+00;2.189540e+02
2;32;1;0;256;8192;8192;8192;4.772985e+00;2.303474e+02
3;32;1;0;256;8192;8192;8192;4.594659e+00;2.392875e+02
0;32;1;0;512;8192;8192;8192;2.407054e+00;4.567594e+02
1;32;1;0;512;8192;8192;8192;2.192593e+00;5.014357e+02
2;32;1;0;512;8192;8192;8192;2.229147e+00;4.932130e+02
3;32;1;0;512;8192;8192;8192;2.196001e+00;5.006576e+02
0;32;1;0;1024;8192;8192;8192;1.520374e+00;7.231410e+02
1;32;1;0;1024;8192;8192;8192;1.380339e+00;7.965035e+02
2;32;1;0;1024;8192;8192;8192;1.332571e+00;8.250549e+02
3;32;1;0;1024;8192;8192;8192;1.333102e+00;8.247262e+02
