Id;threads;Q;gpus;nb;m;n;k;time;gflops
0;8;8;0;256;8192;8192;8192;1.529602e+00;7.187783e+02
1;8;8;0;256;8192;8192;8192;2.175263e+00;5.054305e+02
2;8;8;0;256;8192;8192;8192;2.008392e+00;5.474254e+02
3;8;8;0;256;8192;8192;8192;1.581977e+00;6.949811e+02
0;8;8;0;512;8192;8192;8192;1.329454e+00;8.269896e+02
1;8;8;0;512;8192;8192;8192;9.220856e-01;1.192345e+03
2;8;8;0;512;8192;8192;8192;9.115706e-01;1.206099e+03
3;8;8;0;512;8192;8192;8192;9.172903e-01;1.198579e+03
0;8;8;0;1024;8192;8192;8192;9.789571e-01;1.123077e+03
1;8;8;0;1024;8192;8192;8192;9.050784e-01;1.214751e+03
2;8;8;0;1024;8192;8192;8192;1.011445e+00;1.087004e+03
3;8;8;0;1024;8192;8192;8192;1.078717e+00;1.019215e+03
0;8;8;0;2048;8192;8192;8192;2.349309e+00;4.679863e+02
1;8;8;0;2048;8192;8192;8192;2.298064e+00;4.784220e+02
2;8;8;0;2048;8192;8192;8192;2.316059e+00;4.747050e+02
3;8;8;0;2048;8192;8192;8192;2.311220e+00;4.756988e+02
0;8;8;0;4096;8192;8192;8192;8.197340e+00;1.341221e+02
1;8;8;0;4096;8192;8192;8192;8.184356e+00;1.343349e+02
2;8;8;0;4096;8192;8192;8192;8.233400e+00;1.335347e+02
3;8;8;0;4096;8192;8192;8192;8.230089e+00;1.335884e+02
0;8;8;0;8192;8192;8192;8192;3.336581e+01;3.295123e+01
1;8;8;0;8192;8192;8192;8192;3.300010e+01;3.331640e+01
2;8;8;0;8192;8192;8192;8192;3.300618e+01;3.331027e+01
3;8;8;0;8192;8192;8192;8192;3.299644e+01;3.332009e+01
0;16;4;0;256;8192;8192;8192;1.227984e+00;8.953251e+02
1;16;4;0;256;8192;8192;8192;8.714830e-01;1.261579e+03
2;16;4;0;256;8192;8192;8192;9.270688e-01;1.185936e+03
3;16;4;0;256;8192;8192;8192;9.434045e-01;1.165401e+03
0;16;4;0;512;8192;8192;8192;1.263764e+00;8.699763e+02
1;16;4;0;512;8192;8192;8192;8.512112e-01;1.291624e+03
2;16;4;0;512;8192;8192;8192;8.747620e-01;1.256850e+03
3;16;4;0;512;8192;8192;8192;8.671798e-01;1.267839e+03
0;16;4;0;1024;8192;8192;8192;9.618811e-01;1.143015e+03
1;16;4;0;1024;8192;8192;8192;8.970511e-01;1.225621e+03
2;16;4;0;1024;8192;8192;8192;9.181293e-01;1.197483e+03
3;16;4;0;1024;8192;8192;8192;9.020944e-01;1.218769e+03
0;16;4;0;2048;8192;8192;8192;2.369635e+00;4.639721e+02
1;16;4;0;2048;8192;8192;8192;2.335841e+00;4.706847e+02
2;16;4;0;2048;8192;8192;8192;2.365874e+00;4.647097e+02
3;16;4;0;2048;8192;8192;8192;2.357970e+00;4.662674e+02
0;16;4;0;4096;8192;8192;8192;8.276731e+00;1.328356e+02
1;16;4;0;4096;8192;8192;8192;8.182414e+00;1.343668e+02
2;16;4;0;4096;8192;8192;8192;8.187580e+00;1.342820e+02
3;16;4;0;4096;8192;8192;8192;8.189049e+00;1.342579e+02
0;16;4;0;8192;8192;8192;8192;3.313460e+01;3.318117e+01
1;16;4;0;8192;8192;8192;8192;3.299812e+01;3.331840e+01
2;16;4;0;8192;8192;8192;8192;3.298743e+01;3.332920e+01
3;16;4;0;8192;8192;8192;8192;3.298782e+01;3.332880e+01
0;32;2;0;256;8192;8192;8192;2.154604e+00;5.102768e+02
1;32;2;0;256;8192;8192;8192;1.282929e+00;8.569801e+02
2;32;2;0;256;8192;8192;8192;1.276986e+00;8.609686e+02
3;32;2;0;256;8192;8192;8192;1.279302e+00;8.594094e+02
0;32;2;0;512;8192;8192;8192;1.798758e+00;6.112242e+02
1;32;2;0;512;8192;8192;8192;9.337351e-01;1.177469e+03
2;32;2;0;512;8192;8192;8192;9.092453e-01;1.209184e+03
3;32;2;0;512;8192;8192;8192;9.162670e-01;1.199917e+03
0;32;2;0;1024;8192;8192;8192;1.197898e+00;9.178111e+02
1;32;2;0;1024;8192;8192;8192;9.973910e-01;1.102320e+03
2;32;2;0;1024;8192;8192;8192;9.944228e-01;1.105611e+03
3;32;2;0;1024;8192;8192;8192;1.008255e+00;1.090443e+03
0;32;2;0;2048;8192;8192;8192;2.383530e+00;4.612673e+02
1;32;2;0;2048;8192;8192;8192;2.360587e+00;4.657504e+02
2;32;2;0;2048;8192;8192;8192;2.353518e+00;4.671494e+02
3;32;2;0;2048;8192;8192;8192;2.363788e+00;4.651198e+02
0;32;2;0;4096;8192;8192;8192;8.214337e+00;1.338446e+02
1;32;2;0;4096;8192;8192;8192;8.187634e+00;1.342811e+02
2;32;2;0;4096;8192;8192;8192;8.194088e+00;1.341753e+02
3;32;2;0;4096;8192;8192;8192;8.210066e+00;1.339142e+02
0;32;2;0;8192;8192;8192;8192;3.332765e+01;3.298896e+01
1;32;2;0;8192;8192;8192;8192;3.302591e+01;3.329036e+01
2;32;2;0;8192;8192;8192;8192;3.304402e+01;3.327211e+01
3;32;2;0;8192;8192;8192;8192;3.331061e+01;3.300583e+01


