Id;threads;Q;gpus;nb;m;n;k;time;gflops
0;1;1;0;256;8192;8192;8192;4.600049e+01;2.390071e+01
1;1;1;0;256;8192;8192;8192;4.589413e+01;2.395610e+01
2;1;1;0;256;8192;8192;8192;4.586830e+01;2.396959e+01
3;1;1;0;256;8192;8192;8192;4.581384e+01;2.399808e+01
0;1;1;0;512;8192;8192;8192;3.877495e+01;2.835450e+01
1;1;1;0;512;8192;8192;8192;3.853307e+01;2.853249e+01
2;1;1;0;512;8192;8192;8192;3.850151e+01;2.855588e+01
3;1;1;0;512;8192;8192;8192;3.851852e+01;2.854327e+01
0;1;1;0;1024;8192;8192;8192;3.410940e+01;3.223289e+01
1;1;1;0;1024;8192;8192;8192;3.373264e+01;3.259290e+01
2;1;1;0;1024;8192;8192;8192;3.377210e+01;3.255482e+01
3;1;1;0;1024;8192;8192;8192;3.398381e+01;3.235201e+01
0;1;1;0;2048;8192;8192;8192;3.249906e+01;3.383004e+01
1;1;1;0;2048;8192;8192;8192;3.248157e+01;3.384825e+01
2;1;1;0;2048;8192;8192;8192;3.248563e+01;3.384403e+01
3;1;1;0;2048;8192;8192;8192;3.248873e+01;3.384080e+01
0;1;1;0;4096;8192;8192;8192;3.196133e+01;3.439921e+01
1;1;1;0;4096;8192;8192;8192;3.194456e+01;3.441726e+01
2;1;1;0;4096;8192;8192;8192;3.194204e+01;3.441998e+01
3;1;1;0;4096;8192;8192;8192;3.194025e+01;3.442191e+01
0;1;1;0;8192;8192;8192;8192;3.296952e+01;3.334730e+01
1;1;1;0;8192;8192;8192;8192;3.295995e+01;3.335698e+01
2;1;1;0;8192;8192;8192;8192;3.296220e+01;3.335470e+01
3;1;1;0;8192;8192;8192;8192;3.295945e+01;3.335749e+01
0;1;2;0;256;8192;8192;8192;2.316787e+01;4.745557e+01
1;1;2;0;256;8192;8192;8192;1.947443e+01;5.645580e+01
2;1;2;0;256;8192;8192;8192;1.993067e+01;5.516346e+01
3;1;2;0;256;8192;8192;8192;1.989933e+01;5.525033e+01
0;1;2;0;512;8192;8192;8192;2.004107e+01;5.485957e+01
1;1;2;0;512;8192;8192;8192;1.824755e+01;6.025162e+01
2;1;2;0;512;8192;8192;8192;1.814471e+01;6.059312e+01
3;1;2;0;512;8192;8192;8192;1.817314e+01;6.049833e+01
0;1;2;0;1024;8192;8192;8192;1.757583e+01;6.255433e+01
1;1;2;0;1024;8192;8192;8192;1.741263e+01;6.314063e+01
2;1;2;0;1024;8192;8192;8192;1.724611e+01;6.375028e+01
3;1;2;0;1024;8192;8192;8192;1.700229e+01;6.466450e+01
0;1;2;0;2048;8192;8192;8192;1.659494e+01;6.625178e+01
1;1;2;0;2048;8192;8192;8192;1.660439e+01;6.621410e+01
2;1;2;0;2048;8192;8192;8192;1.661441e+01;6.617416e+01
3;1;2;0;2048;8192;8192;8192;1.660686e+01;6.620422e+01
0;1;2;0;4096;8192;8192;8192;1.623894e+01;6.770421e+01
1;1;2;0;4096;8192;8192;8192;1.622649e+01;6.775617e+01
2;1;2;0;4096;8192;8192;8192;1.622401e+01;6.776652e+01
3;1;2;0;4096;8192;8192;8192;1.622959e+01;6.774321e+01
0;1;2;0;8192;8192;8192;8192;3.296639e+01;3.335047e+01
1;1;2;0;8192;8192;8192;8192;3.295629e+01;3.336068e+01
2;1;2;0;8192;8192;8192;8192;3.296072e+01;3.335620e+01
3;1;2;0;8192;8192;8192;8192;3.296093e+01;3.335600e+01
0;1;4;0;256;8192;8192;8192;1.198827e+01;9.171000e+01
1;1;4;0;256;8192;8192;8192;9.943582e+00;1.105683e+02
2;1;4;0;256;8192;8192;8192;9.977802e+00;1.101890e+02
3;1;4;0;256;8192;8192;8192;1.001129e+01;1.098205e+02
0;1;4;0;512;8192;8192;8192;1.034550e+01;1.062728e+02
1;1;4;0;512;8192;8192;8192;9.258852e+00;1.187452e+02
2;1;4;0;512;8192;8192;8192;9.317533e+00;1.179974e+02
3;1;4;0;512;8192;8192;8192;9.226825e+00;1.191574e+02
0;1;4;0;1024;8192;8192;8192;9.039967e+00;1.216204e+02
1;1;4;0;1024;8192;8192;8192;8.790910e+00;1.250661e+02
2;1;4;0;1024;8192;8192;8192;8.796152e+00;1.249915e+02
3;1;4;0;1024;8192;8192;8192;8.770446e+00;1.253579e+02
0;1;4;0;2048;8192;8192;8192;8.507570e+00;1.292313e+02
1;1;4;0;2048;8192;8192;8192;8.491218e+00;1.294802e+02
2;1;4;0;2048;8192;8192;8192;8.474477e+00;1.297360e+02
3;1;4;0;2048;8192;8192;8192;8.502720e+00;1.293050e+02
0;1;4;0;4096;8192;8192;8192;1.628323e+01;6.752006e+01
1;1;4;0;4096;8192;8192;8192;1.623579e+01;6.771734e+01
2;1;4;0;4096;8192;8192;8192;1.623140e+01;6.773565e+01
3;1;4;0;4096;8192;8192;8192;1.623055e+01;6.773921e+01
0;1;4;0;8192;8192;8192;8192;3.307298e+01;3.324299e+01
1;1;4;0;8192;8192;8192;8192;3.302667e+01;3.328960e+01
2;1;4;0;8192;8192;8192;8192;3.302811e+01;3.328815e+01
3;1;4;0;8192;8192;8192;8192;3.302760e+01;3.328866e+01
0;1;8;0;256;8192;8192;8192;1.291301e+01;8.514242e+01
1;1;8;0;256;8192;8192;8192;5.155793e+00;2.132445e+02
2;1;8;0;256;8192;8192;8192;1.031257e+01;1.066121e+02
3;1;8;0;256;8192;8192;8192;1.012937e+01;1.085402e+02
0;1;8;0;512;8192;8192;8192;5.912299e+00;1.859589e+02
1;1;8;0;512;8192;8192;8192;4.915061e+00;2.236889e+02
2;1;8;0;512;8192;8192;8192;4.966386e+00;2.213772e+02
3;1;8;0;512;8192;8192;8192;5.003042e+00;2.197552e+02
0;1;8;0;1024;8192;8192;8192;4.860373e+00;2.262058e+02
1;1;8;0;1024;8192;8192;8192;4.762733e+00;2.308432e+02
2;1;8;0;1024;8192;8192;8192;4.689811e+00;2.344326e+02
3;1;8;0;1024;8192;8192;8192;4.762336e+00;2.308624e+02
0;1;8;0;2048;8192;8192;8192;8.456770e+00;1.300076e+02
1;1;8;0;2048;8192;8192;8192;8.416359e+00;1.306318e+02
2;1;8;0;2048;8192;8192;8192;8.417466e+00;1.306147e+02
3;1;8;0;2048;8192;8192;8192;8.418420e+00;1.305999e+02
0;1;8;0;4096;8192;8192;8192;1.626905e+01;6.757889e+01
1;1;8;0;4096;8192;8192;8192;1.624298e+01;6.768737e+01
2;1;8;0;4096;8192;8192;8192;1.621838e+01;6.779005e+01
3;1;8;0;4096;8192;8192;8192;1.621964e+01;6.778475e+01
0;1;8;0;8192;8192;8192;8192;3.308111e+01;3.323481e+01
1;1;8;0;8192;8192;8192;8192;3.303446e+01;3.328175e+01
2;1;8;0;8192;8192;8192;8192;3.303613e+01;3.328006e+01
3;1;8;0;8192;8192;8192;8192;3.303514e+01;3.328106e+01
0;1;16;0;256;8192;8192;8192;7.200570e+00;1.526885e+02
1;1;16;0;256;8192;8192;8192;2.747165e+00;4.002106e+02
2;1;16;0;256;8192;8192;8192;2.758829e+00;3.985185e+02
3;1;16;0;256;8192;8192;8192;2.721808e+00;4.039391e+02
0;1;16;0;512;8192;8192;8192;3.175273e+00;3.462520e+02
1;1;16;0;512;8192;8192;8192;2.618569e+00;4.198646e+02
2;1;16;0;512;8192;8192;8192;2.527543e+00;4.349855e+02
3;1;16;0;512;8192;8192;8192;2.550631e+00;4.310480e+02
0;1;16;0;1024;8192;8192;8192;4.688525e+00;2.344969e+02
1;1;16;0;1024;8192;8192;8192;4.428726e+00;2.482530e+02
2;1;16;0;1024;8192;8192;8192;4.447105e+00;2.472270e+02
3;1;16;0;1024;8192;8192;8192;4.413071e+00;2.491337e+02
0;1;16;0;2048;8192;8192;8192;8.466892e+00;1.298522e+02
1;1;16;0;2048;8192;8192;8192;8.315246e+00;1.322203e+02
2;1;16;0;2048;8192;8192;8192;8.324381e+00;1.320752e+02
3;1;16;0;2048;8192;8192;8192;8.317936e+00;1.321776e+02
0;1;16;0;256;8192;8192;8192;7.549890e+00;1.456239e+02
1;1;16;0;256;8192;8192;8192;2.737001e+00;4.016968e+02
2;1;16;0;256;8192;8192;8192;2.769216e+00;3.970238e+02
3;1;16;0;256;8192;8192;8192;2.756472e+00;3.988593e+02
0;1;16;0;512;8192;8192;8192;3.623017e+00;3.034610e+02
1;1;16;0;512;8192;8192;8192;2.649510e+00;4.149615e+02
2;1;16;0;512;8192;8192;8192;2.488024e+00;4.418946e+02
3;1;16;0;512;8192;8192;8192;2.555015e+00;4.303085e+02
0;1;16;0;1024;8192;8192;8192;4.699136e+00;2.339674e+02
1;1;16;0;1024;8192;8192;8192;4.452876e+00;2.469066e+02
2;1;16;0;1024;8192;8192;8192;4.391908e+00;2.503341e+02
3;1;16;0;1024;8192;8192;8192;4.352833e+00;2.525814e+02
0;1;16;0;2048;8192;8192;8192;8.486598e+00;1.295507e+02
1;1;16;0;2048;8192;8192;8192;8.422227e+00;1.305408e+02
2;1;16;0;2048;8192;8192;8192;8.438151e+00;1.302945e+02
3;1;16;0;2048;8192;8192;8192;8.407702e+00;1.307663e+02
0;1;16;0;4096;8192;8192;8192;1.673986e+01;6.567825e+01
1;1;16;0;4096;8192;8192;8192;1.668652e+01;6.588819e+01
2;1;16;0;4096;8192;8192;8192;1.673536e+01;6.569588e+01
3;1;16;0;4096;8192;8192;8192;1.657948e+01;6.631357e+01
0;1;16;0;8192;8192;8192;8192;3.320460e+01;3.311121e+01
1;1;16;0;8192;8192;8192;8192;3.316411e+01;3.315163e+01
2;1;16;0;8192;8192;8192;8192;3.310748e+01;3.320834e+01
3;1;16;0;8192;8192;8192;8192;3.309321e+01;3.322266e+01
0;1;32;0;256;8192;8192;8192;2.880320e+00;3.817091e+02
1;1;32;0;256;8192;8192;8192;1.662518e+00;6.613127e+02
2;1;32;0;256;8192;8192;8192;1.521917e+00;7.224079e+02
3;1;32;0;256;8192;8192;8192;1.530551e+00;7.183326e+02
0;1;32;0;512;8192;8192;8192;3.445565e+00;3.190898e+02
1;1;32;0;512;8192;8192;8192;2.626946e+00;4.185257e+02
2;1;32;0;512;8192;8192;8192;2.550925e+00;4.309984e+02
3;1;32;0;512;8192;8192;8192;2.559785e+00;4.295065e+02
0;1;32;0;1024;8192;8192;8192;4.648286e+00;2.365269e+02
1;1;32;0;1024;8192;8192;8192;4.424416e+00;2.484948e+02
2;1;32;0;1024;8192;8192;8192;4.408794e+00;2.493753e+02
3;1;32;0;1024;8192;8192;8192;4.444151e+00;2.473913e+02
0;1;32;0;2048;8192;8192;8192;8.499095e+00;1.293602e+02
1;1;32;0;2048;8192;8192;8192;8.432060e+00;1.303886e+02
2;1;32;0;2048;8192;8192;8192;8.431994e+00;1.303896e+02
3;1;32;0;2048;8192;8192;8192;8.429126e+00;1.304340e+02
0;1;32;0;4096;8192;8192;8192;1.622848e+01;6.774786e+01
1;1;32;0;4096;8192;8192;8192;1.610447e+01;6.826954e+01
2;1;32;0;4096;8192;8192;8192;1.610913e+01;6.824977e+01
3;1;32;0;4096;8192;8192;8192;1.609381e+01;6.831473e+01
0;1;32;0;8192;8192;8192;8192;3.307254e+01;3.324343e+01
1;1;32;0;8192;8192;8192;8192;3.305156e+01;3.326453e+01
2;1;32;0;8192;8192;8192;8192;3.304698e+01;3.326914e+01
3;1;32;0;8192;8192;8192;8192;3.305773e+01;3.325832e+01
0;1;64;0;256;8192;8192;8192;2.769917e+00;3.969233e+02
1;1;64;0;256;8192;8192;8192;1.676485e+00;6.558035e+02
2;1;64;0;256;8192;8192;8192;1.531459e+00;7.179067e+02
3;1;64;0;256;8192;8192;8192;1.517318e+00;7.245973e+02
0;1;64;0;512;8192;8192;8192;3.229948e+00;3.403908e+02
1;1;64;0;512;8192;8192;8192;2.588468e+00;4.247472e+02
2;1;64;0;512;8192;8192;8192;2.497908e+00;4.401461e+02
3;1;64;0;512;8192;8192;8192;2.586437e+00;4.250807e+02
0;1;64;0;1024;8192;8192;8192;4.668920e+00;2.354815e+02
1;1;64;0;1024;8192;8192;8192;4.592721e+00;2.393885e+02
2;1;64;0;1024;8192;8192;8192;4.592831e+00;2.393828e+02
3;1;64;0;1024;8192;8192;8192;4.576764e+00;2.402231e+02
0;1;64;0;2048;8192;8192;8192;8.445010e+00;1.301887e+02
1;1;64;0;2048;8192;8192;8192;8.430118e+00;1.304186e+02
2;1;64;0;2048;8192;8192;8192;8.448939e+00;1.301281e+02
