Id;threads;Q;gpus;nb;m;n;k;time;gflops
0;1;1;0;256;8192;8192;8192;4.643811e+01;2.367548e+01
1;1;1;0;256;8192;8192;8192;4.524437e+01;2.430014e+01
2;1;1;0;256;8192;8192;8192;4.520267e+01;2.432256e+01
3;1;1;0;256;8192;8192;8192;4.521471e+01;2.431608e+01
0;1;1;0;512;8192;8192;8192;3.953048e+01;2.781257e+01
1;1;1;0;512;8192;8192;8192;3.871303e+01;2.839986e+01
2;1;1;0;512;8192;8192;8192;3.850862e+01;2.855061e+01
3;1;1;0;512;8192;8192;8192;3.854807e+01;2.852139e+01
0;1;1;0;1024;8192;8192;8192;3.422099e+01;3.212778e+01
1;1;1;0;1024;8192;8192;8192;3.391174e+01;3.242077e+01
2;1;1;0;1024;8192;8192;8192;3.374266e+01;3.258322e+01
3;1;1;0;1024;8192;8192;8192;3.360267e+01;3.271896e+01
0;1;1;0;2048;8192;8192;8192;3.307874e+01;3.323719e+01
1;1;1;0;2048;8192;8192;8192;3.277032e+01;3.355001e+01
2;1;1;0;2048;8192;8192;8192;3.275534e+01;3.356536e+01
3;1;1;0;2048;8192;8192;8192;3.274146e+01;3.357958e+01
0;1;1;0;4096;8192;8192;8192;3.221046e+01;3.413315e+01
1;1;1;0;4096;8192;8192;8192;3.206082e+01;3.429246e+01
2;1;1;0;4096;8192;8192;8192;3.197148e+01;3.438829e+01
3;1;1;0;4096;8192;8192;8192;3.197202e+01;3.438771e+01
0;1;1;0;8192;8192;8192;8192;3.316828e+01;3.314747e+01
1;1;1;0;8192;8192;8192;8192;3.300976e+01;3.330665e+01
2;1;1;0;8192;8192;8192;8192;3.296618e+01;3.335069e+01
3;1;1;0;8192;8192;8192;8192;3.296220e+01;3.335471e+01
0;2;1;0;256;8192;8192;8192;2.303441e+01;4.773054e+01
1;2;1;0;256;8192;8192;8192;2.193709e+01;5.011807e+01
2;2;1;0;256;8192;8192;8192;2.183753e+01;5.034657e+01
3;2;1;0;256;8192;8192;8192;2.175212e+01;5.054425e+01
0;2;1;0;512;8192;8192;8192;1.922729e+01;5.718146e+01
1;2;1;0;512;8192;8192;8192;1.853126e+01;5.932918e+01
2;2;1;0;512;8192;8192;8192;1.836220e+01;5.987544e+01
3;2;1;0;512;8192;8192;8192;1.837887e+01;5.982111e+01
0;2;1;0;1024;8192;8192;8192;1.741443e+01;6.313412e+01
1;2;1;0;1024;8192;8192;8192;1.712092e+01;6.421645e+01
2;2;1;0;1024;8192;8192;8192;1.700266e+01;6.466307e+01
3;2;1;0;1024;8192;8192;8192;1.698840e+01;6.471737e+01
0;2;1;0;2048;8192;8192;8192;1.668660e+01;6.588787e+01
1;2;1;0;2048;8192;8192;8192;1.647564e+01;6.673154e+01
2;2;1;0;2048;8192;8192;8192;1.646331e+01;6.678151e+01
3;2;1;0;2048;8192;8192;8192;1.646582e+01;6.677131e+01
0;2;1;0;4096;8192;8192;8192;1.626357e+01;6.760166e+01
1;2;1;0;4096;8192;8192;8192;1.608854e+01;6.833711e+01
2;2;1;0;4096;8192;8192;8192;1.609982e+01;6.828922e+01
3;2;1;0;4096;8192;8192;8192;1.609721e+01;6.830031e+01
0;2;1;0;8192;8192;8192;8192;3.350160e+01;3.281767e+01
1;2;1;0;8192;8192;8192;8192;3.320931e+01;3.310651e+01
2;2;1;0;8192;8192;8192;8192;3.301898e+01;3.329735e+01
3;2;1;0;8192;8192;8192;8192;3.293406e+01;3.338320e+01
0;4;1;0;256;8192;8192;8192;1.172230e+01;9.379083e+01
1;4;1;0;256;8192;8192;8192;1.122831e+01;9.791717e+01
2;4;1;0;256;8192;8192;8192;1.101868e+01;9.978007e+01
3;4;1;0;256;8192;8192;8192;1.109581e+01;9.908642e+01
0;4;1;0;512;8192;8192;8192;9.762732e+00;1.126165e+02
1;4;1;0;512;8192;8192;8192;9.753811e+00;1.127195e+02
2;4;1;0;512;8192;8192;8192;9.653911e+00;1.138859e+02
3;4;1;0;512;8192;8192;8192;9.407671e+00;1.168668e+02
0;4;1;0;1024;8192;8192;8192;8.890081e+00;1.236709e+02
1;4;1;0;1024;8192;8192;8192;8.716389e+00;1.261353e+02
2;4;1;0;1024;8192;8192;8192;8.807565e+00;1.248296e+02
3;4;1;0;1024;8192;8192;8192;8.763777e+00;1.254533e+02
