Id;threads;Q;gpus;nb;m;n;k;time;gflops
0;16;1;0;512;8192;8192;8192;3.695771e+00;2.974872e+02
1;16;1;0;512;8192;8192;8192;3.863230e+00;2.845920e+02
2;16;1;0;512;8192;8192;8192;3.956072e+00;2.779132e+02
3;16;1;0;512;8192;8192;8192;3.823864e+00;2.875219e+02
0;16;1;0;1024;8192;8192;8192;3.044825e+00;3.610863e+02
1;16;1;0;1024;8192;8192;8192;3.180680e+00;3.456634e+02
2;16;1;0;1024;8192;8192;8192;3.203275e+00;3.432252e+02
3;16;1;0;1024;8192;8192;8192;3.026717e+00;3.632465e+02
0;16;1;0;2048;8192;8192;8192;5.531513e+00;1.987602e+02
1;16;1;0;2048;8192;8192;8192;5.479955e+00;2.006302e+02
2;16;1;0;2048;8192;8192;8192;5.437469e+00;2.021979e+02
3;16;1;0;2048;8192;8192;8192;5.383266e+00;2.042337e+02
0;32;1;0;512;8192;8192;8192;2.535432e+00;4.336320e+02
1;32;1;0;512;8192;8192;8192;2.299970e+00;4.780257e+02
2;32;1;0;512;8192;8192;8192;2.561990e+00;4.291369e+02
3;32;1;0;512;8192;8192;8192;2.567280e+00;4.282527e+02
0;32;1;0;1024;8192;8192;8192;2.254898e+00;4.875806e+02
1;32;1;0;1024;8192;8192;8192;2.127348e+00;5.168145e+02
2;32;1;0;1024;8192;8192;8192;2.093923e+00;5.250644e+02
3;32;1;0;1024;8192;8192;8192;2.065893e+00;5.321885e+02
0;32;1;0;2048;8192;8192;8192;5.565270e+00;1.975546e+02
1;32;1;0;2048;8192;8192;8192;5.464429e+00;2.012003e+02
2;32;1;0;2048;8192;8192;8192;5.405668e+00;2.033874e+02
3;32;1;0;2048;8192;8192;8192;5.456266e+00;2.015013e+02
0;64;1;0;512;8192;8192;8192;2.735948e+00;4.018514e+02
1;64;1;0;512;8192;8192;8192;1.814137e+00;6.060426e+02
2;64;1;0;512;8192;8192;8192;1.742547e+00;6.309410e+02
3;64;1;0;512;8192;8192;8192;1.942058e+00;5.661234e+02
0;64;1;0;1024;8192;8192;8192;2.361696e+00;4.655318e+02
1;64;1;0;1024;8192;8192;8192;2.040779e+00;5.387376e+02
2;64;1;0;1024;8192;8192;8192;2.015979e+00;5.453651e+02
3;64;1;0;1024;8192;8192;8192;1.997264e+00;5.504754e+02
0;64;1;0;2048;8192;8192;8192;5.672428e+00;1.938226e+02
1;64;1;0;2048;8192;8192;8192;5.510341e+00;1.995239e+02
2;64;1;0;2048;8192;8192;8192;5.502204e+00;1.998189e+02
3;64;1;0;2048;8192;8192;8192;5.482707e+00;2.005295e+02
