Id;threads;Q;gpus;nb;m;n;k;time;gflops
0;2;32;0;256;8192;8192;8192;2.369290e+00;4.640397e+02
1;2;32;0;256;8192;8192;8192;2.640121e+00;4.164372e+02
2;2;32;0;256;8192;8192;8192;2.116554e+00;5.194503e+02
3;2;32;0;256;8192;8192;8192;2.112059e+00;5.205559e+02
0;2;32;0;512;8192;8192;8192;1.913537e+00;5.745613e+02
1;2;32;0;512;8192;8192;8192;1.996576e+00;5.506651e+02
2;2;32;0;512;8192;8192;8192;1.838747e+00;5.979313e+02
3;2;32;0;512;8192;8192;8192;1.728821e+00;6.359503e+02
0;2;32;0;1024;8192;8192;8192;2.608631e+00;4.214642e+02
1;2;32;0;1024;8192;8192;8192;2.613607e+00;4.206618e+02
2;2;32;0;1024;8192;8192;8192;2.645344e+00;4.156150e+02
3;2;32;0;1024;8192;8192;8192;2.593265e+00;4.239615e+02
0;2;32;0;2048;8192;8192;8192;5.360139e+00;2.051149e+02
1;2;32;0;2048;8192;8192;8192;5.281962e+00;2.081508e+02
2;2;32;0;2048;8192;8192;8192;5.277015e+00;2.083459e+02
3;2;32;0;2048;8192;8192;8192;5.318918e+00;2.067045e+02
0;2;32;0;4096;8192;8192;8192;1.228193e+01;8.951725e+01
1;2;32;0;4096;8192;8192;8192;1.219039e+01;9.018948e+01
2;2;32;0;4096;8192;8192;8192;1.215465e+01;9.045461e+01
3;2;32;0;4096;8192;8192;8192;1.219128e+01;9.018284e+01
0;4;16;0;256;8192;8192;8192;2.684020e+00;4.096260e+02
1;4;16;0;256;8192;8192;8192;2.590189e+00;4.244650e+02
2;4;16;0;256;8192;8192;8192;2.363961e+00;4.650858e+02
3;4;16;0;256;8192;8192;8192;2.383650e+00;4.612441e+02
0;4;16;0;512;8192;8192;8192;1.553003e+00;7.079475e+02
1;4;16;0;512;8192;8192;8192;1.419769e+00;7.743829e+02
2;4;16;0;512;8192;8192;8192;1.332082e+00;8.253580e+02
3;4;16;0;512;8192;8192;8192;1.336896e+00;8.223862e+02
0;4;16;0;1024;8192;8192;8192;1.641060e+00;6.699600e+02
1;4;16;0;1024;8192;8192;8192;1.528995e+00;7.190635e+02
2;4;16;0;1024;8192;8192;8192;1.530993e+00;7.181251e+02
3;4;16;0;1024;8192;8192;8192;1.578145e+00;6.966690e+02
0;4;16;0;2048;8192;8192;8192;3.826629e+00;2.873141e+02
1;4;16;0;2048;8192;8192;8192;3.749336e+00;2.932371e+02
2;4;16;0;2048;8192;8192;8192;3.798114e+00;2.894712e+02
3;4;16;0;2048;8192;8192;8192;3.787302e+00;2.902975e+02
0;4;16;0;4096;8192;8192;8192;1.221592e+01;9.000094e+01
1;4;16;0;4096;8192;8192;8192;1.212926e+01;9.064400e+01
2;4;16;0;4096;8192;8192;8192;1.218850e+01;9.020342e+01
3;4;16;0;4096;8192;8192;8192;1.225253e+01;8.973207e+01
0;8;8;0;256;8192;8192;8192;2.862473e+00;3.840891e+02
1;8;8;0;256;8192;8192;8192;2.570306e+00;4.277484e+02
2;8;8;0;256;8192;8192;8192;2.759997e+00;3.983499e+02
3;8;8;0;256;8192;8192;8192;2.769560e+00;3.969744e+02
0;8;8;0;512;8192;8192;8192;1.526143e+00;7.204073e+02
1;8;8;0;512;8192;8192;8192;1.995283e+00;5.510218e+02
2;8;8;0;512;8192;8192;8192;1.286014e+00;8.549242e+02
3;8;8;0;512;8192;8192;8192;1.235391e+00;8.899564e+02
0;8;8;0;1024;8192;8192;8192;1.402415e+00;7.839651e+02
1;8;8;0;1024;8192;8192;8192;1.344913e+00;8.174840e+02
