Id;threads;Q;gpus;nb;m;n;k;time;gflops
0;1;1;0;256;8192;8192;8192;4.990226e+01;2.203196e+01
1;1;1;0;256;8192;8192;8192;4.844195e+01;2.269612e+01
2;1;1;0;256;8192;8192;8192;4.814523e+01;2.283600e+01
3;1;1;0;256;8192;8192;8192;4.829944e+01;2.276309e+01
0;1;1;0;512;8192;8192;8192;4.160324e+01;2.642690e+01
1;1;1;0;512;8192;8192;8192;4.042436e+01;2.719757e+01
2;1;1;0;512;8192;8192;8192;4.015750e+01;2.737831e+01
3;1;1;0;512;8192;8192;8192;3.988363e+01;2.756631e+01
0;1;1;0;1024;8192;8192;8192;3.616094e+01;3.040421e+01
1;1;1;0;1024;8192;8192;8192;3.557912e+01;3.090140e+01
2;1;1;0;1024;8192;8192;8192;3.498741e+01;3.142401e+01
3;1;1;0;1024;8192;8192;8192;3.487680e+01;3.152367e+01
0;1;1;0;2048;8192;8192;8192;3.383825e+01;3.249118e+01
1;1;1;0;2048;8192;8192;8192;3.354687e+01;3.277339e+01
2;1;1;0;2048;8192;8192;8192;3.336615e+01;3.295089e+01
3;1;1;0;2048;8192;8192;8192;3.328322e+01;3.303300e+01
0;1;1;0;4096;8192;8192;8192;3.263511e+01;3.368901e+01
1;1;1;0;4096;8192;8192;8192;3.245154e+01;3.387958e+01
2;1;1;0;4096;8192;8192;8192;3.238637e+01;3.394775e+01
3;1;1;0;4096;8192;8192;8192;3.228799e+01;3.405119e+01
0;4;1;0;256;8192;8192;8192;1.692785e+01;6.494884e+01
1;4;1;0;256;8192;8192;8192;1.554527e+01;7.072533e+01
2;4;1;0;256;8192;8192;8192;1.559642e+01;7.049338e+01
3;4;1;0;256;8192;8192;8192;1.463236e+01;7.513786e+01
0;4;1;0;512;8192;8192;8192;1.295080e+01;8.489393e+01
1;4;1;0;512;8192;8192;8192;1.276428e+01;8.613445e+01
2;4;1;0;512;8192;8192;8192;1.189734e+01;9.241094e+01
3;4;1;0;512;8192;8192;8192;1.253348e+01;8.772058e+01
0;4;1;0;1024;8192;8192;8192;9.460028e+00;1.162200e+02
1;4;1;0;1024;8192;8192;8192;9.653691e+00;1.138885e+02
2;4;1;0;1024;8192;8192;8192;9.350714e+00;1.175787e+02
3;4;1;0;1024;8192;8192;8192;9.250726e+00;1.188495e+02
0;4;1;0;2048;8192;8192;8192;9.818639e+00;1.119752e+02
1;4;1;0;2048;8192;8192;8192;1.001423e+01;1.097882e+02
2;4;1;0;2048;8192;8192;8192;9.547654e+00;1.151534e+02
3;4;1;0;2048;8192;8192;8192;9.574243e+00;1.148336e+02
0;4;1;0;4096;8192;8192;8192;1.631170e+01;6.740222e+01
1;4;1;0;4096;8192;8192;8192;1.627085e+01;6.757142e+01
2;4;1;0;4096;8192;8192;8192;1.620789e+01;6.783391e+01
3;4;1;0;4096;8192;8192;8192;1.616767e+01;6.800266e+01
0;8;1;0;256;8192;8192;8192;1.062221e+01;1.035043e+02
1;8;1;0;256;8192;8192;8192;1.025143e+01;1.072479e+02
2;8;1;0;256;8192;8192;8192;8.555825e+00;1.285025e+02
3;8;1;0;256;8192;8192;8192;8.362934e+00;1.314664e+02
0;8;1;0;512;8192;8192;8192;7.473852e+00;1.471055e+02
1;8;1;0;512;8192;8192;8192;7.203450e+00;1.526275e+02
2;8;1;0;512;8192;8192;8192;6.360982e+00;1.728420e+02
3;8;1;0;512;8192;8192;8192;6.276339e+00;1.751729e+02
0;8;1;0;1024;8192;8192;8192;5.035947e+00;2.183193e+02
1;8;1;0;1024;8192;8192;8192;5.195562e+00;2.116123e+02
2;8;1;0;1024;8192;8192;8192;5.226570e+00;2.103568e+02
3;8;1;0;1024;8192;8192;8192;4.988231e+00;2.204077e+02
0;8;1;0;2048;8192;8192;8192;6.401168e+00;1.717569e+02
1;8;1;0;2048;8192;8192;8192;6.440224e+00;1.707153e+02
2;8;1;0;2048;8192;8192;8192;6.372170e+00;1.725385e+02
3;8;1;0;2048;8192;8192;8192;6.409561e+00;1.715320e+02
0;8;1;0;4096;8192;8192;8192;1.629858e+01;6.745648e+01
1;8;1;0;4096;8192;8192;8192;1.621260e+01;6.781421e+01
2;8;1;0;4096;8192;8192;8192;1.615930e+01;6.803789e+01
3;8;1;0;4096;8192;8192;8192;1.613500e+01;6.814034e+01
0;16;1;0;256;8192;8192;8192;6.216378e+00;1.768626e+02
1;16;1;0;256;8192;8192;8192;6.304412e+00;1.743929e+02
2;16;1;0;256;8192;8192;8192;7.062553e+00;1.556724e+02
3;16;1;0;256;8192;8192;8192;5.876105e+00;1.871043e+02
0;16;1;0;512;8192;8192;8192;3.995646e+00;2.751606e+02
1;16;1;0;512;8192;8192;8192;3.817726e+00;2.879842e+02
2;16;1;0;512;8192;8192;8192;3.710008e+00;2.963456e+02
3;16;1;0;512;8192;8192;8192;3.709093e+00;2.964187e+02
0;16;1;0;1024;8192;8192;8192;3.039863e+00;3.616757e+02
1;16;1;0;1024;8192;8192;8192;3.171785e+00;3.466327e+02
2;16;1;0;1024;8192;8192;8192;2.914791e+00;3.771949e+02
3;16;1;0;1024;8192;8192;8192;2.916775e+00;3.769384e+02
0;16;1;0;2048;8192;8192;8192;5.516063e+00;1.993169e+02
1;16;1;0;2048;8192;8192;8192;5.521662e+00;1.991148e+02
2;16;1;0;2048;8192;8192;8192;5.452218e+00;2.016509e+02
3;16;1;0;2048;8192;8192;8192;5.462665e+00;2.012652e+02
0;16;1;0;4096;8192;8192;8192;1.636565e+01;6.718001e+01
1;16;1;0;4096;8192;8192;8192;1.623761e+01;6.770977e+01
2;16;1;0;4096;8192;8192;8192;1.617404e+01;6.797589e+01
3;16;1;0;4096;8192;8192;8192;1.619620e+01;6.788288e+01
0;32;1;0;256;8192;8192;8192;5.021620e+00;2.189422e+02
1;32;1;0;256;8192;8192;8192;6.333622e+00;1.735886e+02
2;32;1;0;256;8192;8192;8192;5.579765e+00;1.970414e+02
3;32;1;0;256;8192;8192;8192;4.913444e+00;2.237625e+02
0;32;1;0;512;8192;8192;8192;2.666478e+00;4.123209e+02
1;32;1;0;512;8192;8192;8192;2.572316e+00;4.274143e+02
2;32;1;0;512;8192;8192;8192;2.355010e+00;4.668535e+02
3;32;1;0;512;8192;8192;8192;2.449698e+00;4.488082e+02
0;32;1;0;1024;8192;8192;8192;2.311213e+00;4.757003e+02
1;32;1;0;1024;8192;8192;8192;2.128223e+00;5.166021e+02
2;32;1;0;1024;8192;8192;8192;2.064427e+00;5.325665e+02
3;32;1;0;1024;8192;8192;8192;2.099263e+00;5.237289e+02
0;32;1;0;2048;8192;8192;8192;5.570563e+00;1.973669e+02
