Id;Function;threads;gpus;P;Q;mtxfmt;nb;transA;transB;m;n;k;lda;ldb;ldc;alpha;beta;seedA;seedB;seedC;tsub;time;gflops
0;dgemm;35;0;1;1;0;500;111;111;14000;14000;14000;14000;14000;14000;4.892778e-01;-1.846424e-01;1649760492;596516649;1189641421;0.000000e+00;4.191563e+00;1.309297e+03
1;dgemm;35;0;1;1;0;500;111;111;14000;14000;14000;14000;14000;14000;-2.410269e-01;4.000452e-01;783368690;1102520059;2044897763;0.000000e+00;4.209341e+00;1.303767e+03
2;dgemm;35;0;1;1;0;500;111;111;14000;14000;14000;14000;14000;14000;4.141058e-01;-3.017109e-01;1540383426;304089172;1303455736;0.000000e+00;4.172950e+00;1.315137e+03
3;dgemm;35;0;1;1;0;500;111;111;14000;14000;14000;14000;14000;14000;-3.054879e-01;-1.757242e-01;294702567;1726956429;336465782;0.000000e+00;4.186982e+00;1.310729e+03
0;dgemm;35;0;1;1;0;560;111;111;14000;14000;14000;14000;14000;14000;4.892778e-01;-1.846424e-01;1649760492;596516649;1189641421;0.000000e+00;4.011415e+00;1.368096e+03
1;dgemm;35;0;1;1;0;560;111;111;14000;14000;14000;14000;14000;14000;-2.410269e-01;4.000452e-01;783368690;1102520059;2044897763;0.000000e+00;4.009271e+00;1.368827e+03
2;dgemm;35;0;1;1;0;560;111;111;14000;14000;14000;14000;14000;14000;4.141058e-01;-3.017109e-01;1540383426;304089172;1303455736;0.000000e+00;3.991373e+00;1.374966e+03
3;dgemm;35;0;1;1;0;560;111;111;14000;14000;14000;14000;14000;14000;-3.054879e-01;-1.757242e-01;294702567;1726956429;336465782;0.000000e+00;4.046044e+00;1.356387e+03
0;dgemm;35;0;1;1;0;700;111;111;14000;14000;14000;14000;14000;14000;4.892778e-01;-1.846424e-01;1649760492;596516649;1189641421;0.000000e+00;3.752732e+00;1.462401e+03
1;dgemm;35;0;1;1;0;700;111;111;14000;14000;14000;14000;14000;14000;-2.410269e-01;4.000452e-01;783368690;1102520059;2044897763;0.000000e+00;3.817273e+00;1.437676e+03
2;dgemm;35;0;1;1;0;700;111;111;14000;14000;14000;14000;14000;14000;4.141058e-01;-3.017109e-01;1540383426;304089172;1303455736;0.000000e+00;3.782709e+00;1.450812e+03
3;dgemm;35;0;1;1;0;700;111;111;14000;14000;14000;14000;14000;14000;-3.054879e-01;-1.757242e-01;294702567;1726956429;336465782;0.000000e+00;3.773863e+00;1.454213e+03
0;dgemm;35;0;1;1;0;875;111;111;14000;14000;14000;14000;14000;14000;4.892778e-01;-1.846424e-01;1649760492;596516649;1189641421;0.000000e+00;4.017885e+00;1.365893e+03
1;dgemm;35;0;1;1;0;875;111;111;14000;14000;14000;14000;14000;14000;-2.410269e-01;4.000452e-01;783368690;1102520059;2044897763;0.000000e+00;4.017790e+00;1.365925e+03
2;dgemm;35;0;1;1;0;875;111;111;14000;14000;14000;14000;14000;14000;4.141058e-01;-3.017109e-01;1540383426;304089172;1303455736;0.000000e+00;4.038391e+00;1.358957e+03
3;dgemm;35;0;1;1;0;875;111;111;14000;14000;14000;14000;14000;14000;-3.054879e-01;-1.757242e-01;294702567;1726956429;336465782;0.000000e+00;3.989571e+00;1.375586e+03
0;dgemm;35;0;1;1;0;1000;111;111;14000;14000;14000;14000;14000;14000;4.892778e-01;-1.846424e-01;1649760492;596516649;1189641421;0.000000e+00;3.817866e+00;1.437452e+03
1;dgemm;35;0;1;1;0;1000;111;111;14000;14000;14000;14000;14000;14000;-2.410269e-01;4.000452e-01;783368690;1102520059;2044897763;0.000000e+00;3.761013e+00;1.459181e+03
2;dgemm;35;0;1;1;0;1000;111;111;14000;14000;14000;14000;14000;14000;4.141058e-01;-3.017109e-01;1540383426;304089172;1303455736;0.000000e+00;3.741796e+00;1.466675e+03
3;dgemm;35;0;1;1;0;1000;111;111;14000;14000;14000;14000;14000;14000;-3.054879e-01;-1.757242e-01;294702567;1726956429;336465782;0.000000e+00;3.762330e+00;1.458671e+03
0;dgemm;35;0;1;1;0;1400;111;111;14000;14000;14000;14000;14000;14000;4.892778e-01;-1.846424e-01;1649760492;596516649;1189641421;0.000000e+00;3.632734e+00;1.510708e+03
1;dgemm;35;0;1;1;0;1400;111;111;14000;14000;14000;14000;14000;14000;-2.410269e-01;4.000452e-01;783368690;1102520059;2044897763;0.000000e+00;3.678922e+00;1.491741e+03
2;dgemm;35;0;1;1;0;1400;111;111;14000;14000;14000;14000;14000;14000;4.141058e-01;-3.017109e-01;1540383426;304089172;1303455736;0.000000e+00;3.606216e+00;1.521817e+03
3;dgemm;35;0;1;1;0;1400;111;111;14000;14000;14000;14000;14000;14000;-3.054879e-01;-1.757242e-01;294702567;1726956429;336465782;0.000000e+00;3.608296e+00;1.520939e+03
0;dgemm;35;0;1;1;0;1750;111;111;14000;14000;14000;14000;14000;14000;4.892778e-01;-1.846424e-01;1649760492;596516649;1189641421;0.000000e+00;3.918339e+00;1.400593e+03
1;dgemm;35;0;1;1;0;1750;111;111;14000;14000;14000;14000;14000;14000;-2.410269e-01;4.000452e-01;783368690;1102520059;2044897763;0.000000e+00;3.666019e+00;1.496992e+03
2;dgemm;35;0;1;1;0;1750;111;111;14000;14000;14000;14000;14000;14000;4.141058e-01;-3.017109e-01;1540383426;304089172;1303455736;0.000000e+00;3.651368e+00;1.502998e+03
3;dgemm;35;0;1;1;0;1750;111;111;14000;14000;14000;14000;14000;14000;-3.054879e-01;-1.757242e-01;294702567;1726956429;336465782;0.000000e+00;3.619837e+00;1.516090e+03
0;dgemm;35;0;1;1;0;2000;111;111;14000;14000;14000;14000;14000;14000;4.892778e-01;-1.846424e-01;1649760492;596516649;1189641421;0.000000e+00;4.053230e+00;1.353982e+03
1;dgemm;35;0;1;1;0;2000;111;111;14000;14000;14000;14000;14000;14000;-2.410269e-01;4.000452e-01;783368690;1102520059;2044897763;0.000000e+00;4.044322e+00;1.356964e+03
2;dgemm;35;0;1;1;0;2000;111;111;14000;14000;14000;14000;14000;14000;4.141058e-01;-3.017109e-01;1540383426;304089172;1303455736;0.000000e+00;4.009466e+00;1.368761e+03
3;dgemm;35;0;1;1;0;2000;111;111;14000;14000;14000;14000;14000;14000;-3.054879e-01;-1.757242e-01;294702567;1726956429;336465782;0.000000e+00;4.020105e+00;1.365138e+03
0;dgemm;35;0;1;1;0;2800;111;111;14000;14000;14000;14000;14000;14000;4.892778e-01;-1.846424e-01;1649760492;596516649;1189641421;0.000000e+00;4.455983e+00;1.231602e+03
1;dgemm;35;0;1;1;0;2800;111;111;14000;14000;14000;14000;14000;14000;-2.410269e-01;4.000452e-01;783368690;1102520059;2044897763;0.000000e+00;4.471762e+00;1.227257e+03
2;dgemm;35;0;1;1;0;2800;111;111;14000;14000;14000;14000;14000;14000;4.141058e-01;-3.017109e-01;1540383426;304089172;1303455736;0.000000e+00;4.513662e+00;1.215864e+03
3;dgemm;35;0;1;1;0;2800;111;111;14000;14000;14000;14000;14000;14000;-3.054879e-01;-1.757242e-01;294702567;1726956429;336465782;0.000000e+00;4.446622e+00;1.234195e+03
