Id;threads;Q;gpus;nb;m;n;k;time;gflops
0;36;2;0;500;14000;14000;14000;8.413897e+00;6.522310e+02
1;36;2;0;500;14000;14000;14000;7.172189e+00;7.651505e+02
0;36;2;0;560;14000;14000;14000;9.458007e+00;5.802284e+02
1;36;2;0;560;14000;14000;14000;7.853210e+00;6.987976e+02
0;36;2;0;700;14000;14000;14000;8.014201e+00;6.847600e+02
1;36;2;0;700;14000;14000;14000;7.452043e+00;7.364161e+02
0;36;2;0;875;14000;14000;14000;6.789777e+00;8.082451e+02
1;36;2;0;875;14000;14000;14000;5.764645e+00;9.519760e+02
0;36;2;0;1000;14000;14000;14000;6.160151e+00;8.908554e+02
1;36;2;0;1000;14000;14000;14000;5.524596e+00;9.933403e+02
0;36;2;0;1400;14000;14000;14000;5.471205e+00;1.003034e+03
1;36;2;0;1400;14000;14000;14000;4.496774e+00;1.220387e+03
0;36;2;0;1750;14000;14000;14000;5.333120e+00;1.029004e+03
1;36;2;0;1750;14000;14000;14000;3.503772e+00;1.566256e+03
0;36;2;0;2000;14000;14000;14000;5.548618e+00;9.890399e+02
1;36;2;0;2000;14000;14000;14000;5.433136e+00;1.010062e+03
0;36;2;0;2800;14000;14000;14000;6.437925e+00;8.524181e+02
1;36;2;0;2800;14000;14000;14000;6.896469e+00;7.957411e+02
0;36;2;0;3500;14000;14000;14000;8.137217e+00;6.744080e+02
1;36;2;0;3500;14000;14000;14000;7.715756e+00;7.112464e+02
0;36;2;0;7000;14000;14000;14000;2.121262e+01;2.587047e+02
1;36;2;0;7000;14000;14000;14000;2.033403e+01;2.698828e+02
0;36;2;0;14000;14000;14000;14000;7.359782e+01;7.456476e+01
1;36;2;0;14000;14000;14000;14000;7.220743e+01;7.600054e+01
