Id;threads;Q;gpus;nb;m;n;k;time;gflops
0;1;2;0;200;14000;14000;14000;1.485929e+02;3.693180e+01
1;1;2;0;200;14000;14000;14000;1.603905e+02;3.421528e+01
2;1;2;0;200;14000;14000;14000;1.247176e+02;4.400185e+01
3;1;2;0;200;14000;14000;14000;1.274630e+02;4.305409e+01
0;1;2;0;250;14000;14000;14000;1.760206e+02;3.117706e+01
1;1;2;0;250;14000;14000;14000;1.113801e+02;4.927094e+01
2;1;2;0;250;14000;14000;14000;1.235489e+02;4.441807e+01
3;1;2;0;250;14000;14000;14000;1.016828e+02;5.396981e+01
0;1;2;0;280;14000;14000;14000;7.605025e+01;7.216024e+01
1;1;2;0;280;14000;14000;14000;1.072763e+02;5.115578e+01
2;1;2;0;280;14000;14000;14000;8.871274e+01;6.186038e+01
3;1;2;0;280;14000;14000;14000;1.024815e+02;5.354919e+01
0;1;2;0;350;14000;14000;14000;1.168586e+02;4.696105e+01
1;1;2;0;350;14000;14000;14000;6.009287e+01;9.132205e+01
2;1;2;0;350;14000;14000;14000;9.224416e+01;5.949216e+01
3;1;2;0;350;14000;14000;14000;7.560332e+01;7.258681e+01
0;1;2;0;400;14000;14000;14000;1.097768e+02;4.999055e+01
1;1;2;0;400;14000;14000;14000;5.284966e+01;1.038380e+02
2;1;2;0;400;14000;14000;14000;8.590621e+01;6.388134e+01
3;1;2;0;400;14000;14000;14000;9.598066e+01;5.717615e+01
0;1;2;0;500;14000;14000;14000;1.117597e+02;4.910361e+01
1;1;2;0;500;14000;14000;14000;5.575399e+01;9.842890e+01
2;1;2;0;500;14000;14000;14000;3.767675e+01;1.456549e+02
3;1;2;0;500;14000;14000;14000;9.555135e+01;5.743304e+01
0;1;2;0;560;14000;14000;14000;5.685999e+01;9.651433e+01
1;1;2;0;560;14000;14000;14000;3.647785e+01;1.504421e+02
2;1;2;0;560;14000;14000;14000;2.349308e+01;2.335924e+02
3;1;2;0;560;14000;14000;14000;2.800848e+01;1.959337e+02
0;1;2;0;700;14000;14000;14000;4.214988e+01;1.301974e+02
1;1;2;0;700;14000;14000;14000;1.889363e+01;2.904579e+02
2;1;2;0;700;14000;14000;14000;1.937962e+01;2.831739e+02
3;1;2;0;700;14000;14000;14000;1.707205e+01;3.214496e+02
0;1;2;0;875;14000;14000;14000;1.914038e+01;2.867134e+02
1;1;2;0;875;14000;14000;14000;1.531841e+01;3.582490e+02
2;1;2;0;875;14000;14000;14000;1.440450e+01;3.809785e+02
3;1;2;0;875;14000;14000;14000;1.527372e+01;3.592971e+02
0;1;2;0;1000;14000;14000;14000;1.470657e+01;3.731532e+02
1;1;2;0;1000;14000;14000;14000;1.101614e+01;4.981605e+02
2;1;2;0;1000;14000;14000;14000;1.091685e+01;5.026912e+02
3;1;2;0;1000;14000;14000;14000;1.067436e+01;5.141110e+02
0;1;2;0;1400;14000;14000;14000;1.165816e+01;4.707265e+02
1;1;2;0;1400;14000;14000;14000;9.017177e+00;6.085945e+02
2;1;2;0;1400;14000;14000;14000;9.053413e+00;6.061586e+02
3;1;2;0;1400;14000;14000;14000;9.038671e+00;6.071473e+02
0;1;2;0;1750;14000;14000;14000;9.992112e+00;5.492136e+02
1;1;2;0;1750;14000;14000;14000;8.684852e+00;6.318823e+02
2;1;2;0;1750;14000;14000;14000;7.939733e+00;6.911825e+02
3;1;2;0;1750;14000;14000;14000;7.507074e+00;7.310177e+02
0;1;2;0;2000;14000;14000;14000;9.390591e+00;5.843939e+02
1;1;2;0;2000;14000;14000;14000;7.316149e+00;7.500947e+02
2;1;2;0;2000;14000;14000;14000;7.739798e+00;7.090371e+02
3;1;2;0;2000;14000;14000;14000;7.422607e+00;7.393365e+02
0;1;2;0;2800;14000;14000;14000;1.037026e+01;5.291869e+02
1;1;2;0;2800;14000;14000;14000;9.553448e+00;5.744318e+02
2;1;2;0;2800;14000;14000;14000;9.132041e+00;6.009395e+02
3;1;2;0;2800;14000;14000;14000;9.243545e+00;5.936904e+02
0;1;2;0;3500;14000;14000;14000;7.393450e+00;7.422521e+02
1;1;2;0;3500;14000;14000;14000;7.010580e+00;7.827889e+02
2;1;2;0;3500;14000;14000;14000;6.800042e+00;8.070251e+02
3;1;2;0;3500;14000;14000;14000;6.643955e+00;8.259846e+02
0;1;2;0;7000;14000;14000;14000;1.395356e+01;3.932905e+02
1;1;2;0;7000;14000;14000;14000;1.383277e+01;3.967249e+02
2;1;2;0;7000;14000;14000;14000;1.386013e+01;3.959417e+02
3;1;2;0;7000;14000;14000;14000;1.368182e+01;4.011020e+02
0;1;2;0;14000;14000;14000;14000;7.959517e+01;6.894644e+01
1;1;2;0;14000;14000;14000;14000;7.949104e+01;6.903676e+01
2;1;2;0;14000;14000;14000;14000;7.950482e+01;6.902480e+01
3;1;2;0;14000;14000;14000;14000;7.941855e+01;6.909978e+01
