Id;Function;threads;gpus;P;Q;mtxfmt;nb;transA;transB;m;n;k;lda;ldb;ldc;alpha;beta;seedA;seedB;seedC;tsub;time;gflops
0;dgemm;35;0;1;2;0;500;111;111;14000;14000;14000;14000;14000;14000;4.892778e-01;-1.846424e-01;1649760492;596516649;1189641421;0.000000e+00;1.866378e+00;2.940455e+03
1;dgemm;35;0;1;2;0;500;111;111;14000;14000;14000;14000;14000;14000;-2.410269e-01;4.000452e-01;783368690;1102520059;2044897763;0.000000e+00;2.195943e+00;2.499154e+03
0;dgemm;35;0;1;2;0;560;111;111;14000;14000;14000;14000;14000;14000;4.892778e-01;-1.846424e-01;1649760492;596516649;1189641421;0.000000e+00;1.915436e+00;2.865143e+03
1;dgemm;35;0;1;2;0;560;111;111;14000;14000;14000;14000;14000;14000;-2.410269e-01;4.000452e-01;783368690;1102520059;2044897763;0.000000e+00;1.969813e+00;2.786051e+03
0;dgemm;35;0;1;2;0;700;111;111;14000;14000;14000;14000;14000;14000;4.892778e-01;-1.846424e-01;1649760492;596516649;1189641421;0.000000e+00;1.824782e+00;3.007483e+03
1;dgemm;35;0;1;2;0;700;111;111;14000;14000;14000;14000;14000;14000;-2.410269e-01;4.000452e-01;783368690;1102520059;2044897763;0.000000e+00;2.040463e+00;2.689586e+03
0;dgemm;35;0;1;2;0;875;111;111;14000;14000;14000;14000;14000;14000;4.892778e-01;-1.846424e-01;1649760492;596516649;1189641421;0.000000e+00;1.964734e+00;2.793253e+03
1;dgemm;35;0;1;2;0;875;111;111;14000;14000;14000;14000;14000;14000;-2.410269e-01;4.000452e-01;783368690;1102520059;2044897763;0.000000e+00;1.991114e+00;2.756246e+03
0;dgemm;35;0;1;2;0;1000;111;111;14000;14000;14000;14000;14000;14000;4.892778e-01;-1.846424e-01;1649760492;596516649;1189641421;0.000000e+00;1.892695e+00;2.899569e+03
1;dgemm;35;0;1;2;0;1000;111;111;14000;14000;14000;14000;14000;14000;-2.410269e-01;4.000452e-01;783368690;1102520059;2044897763;0.000000e+00;1.820844e+00;3.013987e+03
0;dgemm;35;0;1;2;0;1400;111;111;14000;14000;14000;14000;14000;14000;4.892778e-01;-1.846424e-01;1649760492;596516649;1189641421;0.000000e+00;2.140584e+00;2.563786e+03
1;dgemm;35;0;1;2;0;1400;111;111;14000;14000;14000;14000;14000;14000;-2.410269e-01;4.000452e-01;783368690;1102520059;2044897763;0.000000e+00;2.051679e+00;2.674883e+03
0;dgemm;35;0;1;2;0;1750;111;111;14000;14000;14000;14000;14000;14000;4.892778e-01;-1.846424e-01;1649760492;596516649;1189641421;0.000000e+00;1.903564e+00;2.883014e+03
1;dgemm;35;0;1;2;0;1750;111;111;14000;14000;14000;14000;14000;14000;-2.410269e-01;4.000452e-01;783368690;1102520059;2044897763;0.000000e+00;1.814187e+00;3.025046e+03
0;dgemm;35;0;1;2;0;2000;111;111;14000;14000;14000;14000;14000;14000;4.892778e-01;-1.846424e-01;1649760492;596516649;1189641421;0.000000e+00;2.300285e+00;2.385791e+03
1;dgemm;35;0;1;2;0;2000;111;111;14000;14000;14000;14000;14000;14000;-2.410269e-01;4.000452e-01;783368690;1102520059;2044897763;0.000000e+00;2.287542e+00;2.399081e+03
0;dgemm;35;0;1;2;0;2800;111;111;14000;14000;14000;14000;14000;14000;4.892778e-01;-1.846424e-01;1649760492;596516649;1189641421;0.000000e+00;3.699521e+00;1.483435e+03
1;dgemm;35;0;1;2;0;2800;111;111;14000;14000;14000;14000;14000;14000;-2.410269e-01;4.000452e-01;783368690;1102520059;2044897763;0.000000e+00;3.644971e+00;1.505636e+03
0;dgemm;35;0;1;2;0;3500;111;111;14000;14000;14000;14000;14000;14000;4.892778e-01;-1.846424e-01;1649760492;596516649;1189641421;0.000000e+00;5.523827e+00;9.935141e+02
1;dgemm;35;0;1;2;0;3500;111;111;14000;14000;14000;14000;14000;14000;-2.410269e-01;4.000452e-01;783368690;1102520059;2044897763;0.000000e+00;5.514353e+00;9.952209e+02
0;dgemm;35;0;1;2;0;7000;111;111;14000;14000;14000;14000;14000;14000;4.892778e-01;-1.846424e-01;1649760492;596516649;1189641421;0.000000e+00;1.978667e+01;2.773584e+02
1;dgemm;35;0;1;2;0;7000;111;111;14000;14000;14000;14000;14000;14000;-2.410269e-01;4.000452e-01;783368690;1102520059;2044897763;0.000000e+00;1.993563e+01;2.752860e+02
