Id;threads;Q;gpus;nb;m;n;k;time;gflops
0;1;2;0;500;14000;14000;14000;6.669058e+01;8.228754e+01
1;1;2;0;500;14000;14000;14000;4.406361e+01;1.245428e+02
0;1;2;0;560;14000;14000;14000;3.072281e+01;1.786231e+02
1;1;2;0;560;14000;14000;14000;2.072404e+01;2.648037e+02
0;1;2;0;700;14000;14000;14000;2.675300e+01;2.051285e+02
1;1;2;0;700;14000;14000;14000;2.193246e+01;2.502138e+02
0;1;2;0;875;14000;14000;14000;2.064740e+01;2.657867e+02
1;1;2;0;875;14000;14000;14000;1.416159e+01;3.875132e+02
0;1;2;0;1000;14000;14000;14000;1.675674e+01;3.274983e+02
1;1;2;0;1000;14000;14000;14000;1.260225e+01;4.354623e+02
0;1;2;0;1400;14000;14000;14000;1.149534e+01;4.773937e+02
1;1;2;0;1400;14000;14000;14000;9.788393e+00;5.606440e+02
0;1;2;0;1750;14000;14000;14000;9.627891e+00;5.699902e+02
1;1;2;0;1750;14000;14000;14000;7.819139e+00;7.018425e+02
0;1;2;0;2000;14000;14000;14000;9.303073e+00;5.898915e+02
1;1;2;0;2000;14000;14000;14000;7.471230e+00;7.345248e+02
0;1;2;0;2800;14000;14000;14000;1.028318e+01;5.336679e+02
1;1;2;0;2800;14000;14000;14000;9.700656e+00;5.657147e+02
0;1;2;0;3500;14000;14000;14000;7.177327e+00;7.646028e+02
1;1;2;0;3500;14000;14000;14000;6.865034e+00;7.993849e+02
0;1;2;0;7000;14000;14000;14000;1.365049e+01;4.020226e+02
1;1;2;0;7000;14000;14000;14000;1.374958e+01;3.991252e+02
