Id;threads;Q;gpus;nb;m;n;k;time;gflops
0;1;2;0;500;14000;14000;14000;4.705108e+01;1.166350e+02
1;1;2;0;500;14000;14000;14000;5.557845e+01;9.873978e+01
0;1;2;0;560;14000;14000;14000;5.662556e+01;9.691390e+01
1;1;2;0;560;14000;14000;14000;5.066061e+01;1.083249e+02
0;1;2;0;700;14000;14000;14000;3.228465e+01;1.699818e+02
1;1;2;0;700;14000;14000;14000;2.043961e+01;2.684887e+02
0;1;2;0;875;14000;14000;14000;1.989499e+01;2.758385e+02
1;1;2;0;875;14000;14000;14000;1.410993e+01;3.889320e+02
0;1;2;0;1000;14000;14000;14000;1.652678e+01;3.320552e+02
1;1;2;0;1000;14000;14000;14000;1.244182e+01;4.410773e+02
0;1;2;0;1400;14000;14000;14000;1.170402e+01;4.688818e+02
1;1;2;0;1400;14000;14000;14000;9.969736e+00;5.504463e+02
0;1;2;0;1750;14000;14000;14000;9.646217e+00;5.689074e+02
1;1;2;0;1750;14000;14000;14000;8.018461e+00;6.843961e+02
0;1;2;0;2000;14000;14000;14000;9.072155e+00;6.049063e+02
1;1;2;0;2000;14000;14000;14000;7.257026e+00;7.562057e+02
0;1;2;0;2800;14000;14000;14000;1.013013e+01;5.417308e+02
1;1;2;0;2800;14000;14000;14000;9.709965e+00;5.651724e+02
0;1;2;0;3500;14000;14000;14000;7.171042e+00;7.652729e+02
1;1;2;0;3500;14000;14000;14000;6.773246e+00;8.102178e+02
0;1;2;0;7000;14000;14000;14000;1.373983e+01;3.994086e+02
1;1;2;0;7000;14000;14000;14000;1.396062e+01;3.930916e+02
